,,,,,Загальна інформація,,,,Надходження до місцевих бюджетів (загальний фонд),,,,,,,Частка місцевих податків в дохідній частині бюджету загального фонду ,,,,,,ПДФО та індекс податковспроможності,,,,,,,Акциз,,,,,,Плата за землю,,,,,,Єдиний податок,,,,,,Частка витрати на оплату праці загальнодержавних функцій,,,,,
Сумська область,Охтирський район,Тростянецька,міська територіальна громада,UA59040130000041676,,28.933,28.565,788.1,219742.6006,193528.7032,-11.9%,39522.40771,42383.88281,20-50,7.2%,23.24343204,32.02597028,29.66,22.70,20-40,-23.5%,1.025738524,0,0,3201.126428,1.032222364,0,0,246.7326782,276.1159624,57.6,44.5,25-50,-22.6%,998.2924585,1360.643766,71.31,67.29,50-100,-5.6%,690.0811308,711.9218939,172.1,208.18,200-500,21.0%,13.78,12.23,15.6%,8.0%,менше 10,-48.8%
Івано-Франківська область,Івано-Франківський район,Івано-Франківська,міська територіальна громада,UA26040190000081578,,286.435,287.533,263.8,2385776.528,2336782.51,-2.1%,509118.8139,619766.1799,більше 100,21.7%,20.52902728,26.13588845,27.25,26.25,20-40,-3.7%,1.244271219,65000.5,0,3883.123611,1.245901851,71731.4,0,511.3848535,582.7327025,117.7,98.8,50-100,-16.1%,465.3793751,516.6084809,55.10,56.18,50-100,2.0%,1033.510936,1315.781205,323.0,398.29,200-500,23.3%,12.08,7.92,8.6%,8.2%,менше 10,-5.5%
Дніпропетровська область,Кам'янський район,Кам’янська,міська територіальна громада,UA12040150000015189,,238.832,236.672,136.3,2004487.659,1826451.936,-8.9%,429797.0311,474993.7556,більше 100,10.5%,31.91924366,42.51436575,42.53,42.46,більше 40,-0.2%,1.019977125,0,0,3183.146244,1.01751945,0,0,328.8235941,409.3177742,87.6,81.6,50-100,-6.9%,2034.297286,2460.765109,84.86,94.75,50-100,11.6%,509.2047149,650.1962274,156.5,188.17,100-200,20.2%,10.43,8.19,9.3%,8.2%,менше 10,-11.7%
Дніпропетровська область,Новомосковський район,Черкаська,селищна територіальна громада,UA12100130000095653,,10.376,10.293,190.3,186462.2528,213594.0378,14.6%,34162.77311,76950.36603,50-100,125.2%,3.49740537,4.253487613,5.77,2.99,менше 10,-48.1%,4.838970779,61213.4,0,15101.46775,5.470711369,77103.4,0,45.97928708,51.12968948,12.0,23.0,менше 25,92.1%,63.79954632,52.68826956,3.15,3.98,менше 25,26.2%,542.2112476,797.3785791,176.4,203.80,200-500,15.5%,7.67,8.72,7.9%,8.2%,менше 10,3.1%
Чернівецька область,Чернівецький район,Чернівецька,міська територіальна громада,UA73060610000066784,,272.18,270.578,180.4,2276720.127,1973664.516,-13.3%,437813.2197,510530.6074,більше 100,16.6%,19.44944634,27.42417034,28.78,26.57,20-40,-7.7%,1.091491932,0,0,3406.329767,1.085928247,0,0,497.8925938,550.4742397,112.3,97.8,50-100,-12.9%,600.3082653,686.8087622,69.66,57.86,50-100,-16.9%,914.8688228,1184.996636,277.4,336.68,200-500,21.4%,9.50,7.93,8.1%,8.2%,менше 10,1.9%
Миколаївська область,Миколаївський район,Галицинівська,сільська територіальна громада,UA48060070000087404,,7.581,7.502,311.1,132458.0698,138702.0718,4.7%,30309.96844,48146.06379,20-50,58.8%,10.83114035,14.05200734,15.35,10.09,10-20,-34.3%,3.635021194,30157.9,0,11344.17996,3.945259853,36363.7,0,38.16452781,59.00856688,12.9,10.5,менше 25,-18.3%,541.9746013,613.183267,76.93,61.93,50-100,-19.5%,749.5009011,815.0412102,218.5,247.24,200-500,13.1%,13.04,12.87,12.3%,8.2%,менше 10,-33.1%
Полтавська область,Полтавський район,Нехворощанська,сільська територіальна громада,UA53080290000024637,,5.075,4.996,288.5,60349.28338,54259.04386,-10.1%,13791.58521,24206.60067,20-50,75.5%,19.34715666,20.77822753,17.5,14.70,10-20,-16.0%,1.604057848,4029.4,0,5005.946299,1.464647846,3113.7,0,109.9310833,65.69022443,19.8,18.8,менше 25,-5.2%,817.5504587,901.2689057,10.73,27.51,25-50,156.3%,1376.543806,1259.99519,314.6,523.44,більше 500,66.4%,14.89,13.98,14.6%,8.3%,менше 10,-43.1%
Дніпропетровська область,Криворізький район,Криворізька,міська територіальна громада,UA12060170000091033,,622.012,615.492,431.9,6614110.547,6339577.397,-4.2%,1513921.462,1832964.706,більше 100,21.1%,22.93914169,33.1676131,33.43,30.64,20-40,-8.3%,1.574680041,466194,0,4914.26399,1.536897664,461525.6,0,419.5702013,457.9047371,96.7,87.6,50-100,-9.5%,1691.064661,2446.890647,104.77,163.02,100-200,55.6%,595.3267786,743.8799534,176.4,219.11,200-500,24.2%,7.85,7.53,9.5%,8.3%,менше 10,-12.7%
Київська область,Броварський район,Калинівська,селищна територіальна громада,UA32060130000095223,,8.518,8.468,65.8,189738.6594,214982.7015,13.3%,50802.59148,45139.35881,20-50,-11.1%,18.59622276,20.58602946,22.54,21.00,20-40,-6.8%,4.609038476,47675.2,0,14383.89465,5.037410949,57012.7,0,1499.209117,918.8448572,355.9,264.6,більше 200,-25.7%,2126.58033,1277.629541,605.07,334.25,більше 200,-44.8%,1387.250477,924.4683095,439.7,443.19,200-500,0.8%,8.03,7.93,6.0%,8.5%,менше 10,41.3%
Львівська область,Стрийський район,Стрийська,міська територіальна громада,UA46100230000047305,,99.54,99.05,551.1,712520.3904,700092.7427,-1.7%,146554.405,192712.9744,більше 100,31.5%,21.11579725,24.1617616,26.68,20.95,20-40,-21.5%,1.204690009,16299.1,0,3759.598507,1.111164183,1879.9,0,310.8669368,337.4904413,73.7,59.5,50-100,-19.3%,712.7330206,719.2858941,116.19,71.86,50-100,-38.2%,620.006019,805.9841251,185.5,239.88,200-500,29.3%,11.05,10.25,10.9%,8.6%,менше 10,-21.5%
Полтавська область,Полтавський район,Драбинівська,сільська територіальна громада,UA53080070000036333,,4.192,4.126,246.1,54475.79711,42251.25345,-22.4%,13282.56597,15541.02034,5-20,17.0%,21.00370441,27.04753222,16.64,20.64,20-40,24.0%,2.200253592,7274.2,0,6866.55493,1.908339307,5701.5,0,6.350389426,10.56503967,2.3,2.2,менше 25,-4.6%,1308.143441,1455.79133,4.29,-1.07,менше 25,-125.0%,1379.278541,1279.9595,281.4,479.53,200-500,70.4%,11.80,11.84,10.8%,9.0%,менше 10,-16.8%
Житомирська область,Новоград-Волинський район,Новоград-Волинська,міська територіальна громада,UA18080150000022496,,63.518,61.603,249,472928.6426,400283.4006,-15.4%,82626.87715,125158.307,більше 100,51.5%,14.7015455,19.38465566,23.08,14.69,10-20,-36.4%,1.109043875,899.9,0,3461.1059,1.187801253,9207.9,0,301.4606011,364.5502568,82.6,60.1,50-100,-27.2%,300.7707863,318.5600136,31.20,34.12,25-50,9.3%,721.2104187,847.5098669,226.5,222.40,200-500,-1.8%,10.36,10.90,11.5%,9.0%,менше 10,-21.9%
Київська область,Обухівський район,Миронівська,міська територіальна громада,UA32120090000034281,,32.474,32.037,797.5,339636.9843,372010.0338,9.5%,74730.20042,87555.21169,50-100,17.2%,17.8882578,18.30114357,18.61,16.88,10-20,-9.3%,2.021033204,46951.3,0,6307.243656,2.029087757,51117.4,0,518.3340013,549.3337929,118.9,92.2,50-100,-22.5%,554.3918427,613.4921682,44.38,31.75,25-50,-28.5%,1119.478033,1211.02964,267.7,314.13,200-500,17.3%,14.69,11.63,15.8%,9.0%,менше 10,-43.0%
Київська область,Бучанський район,Бучанська,міська територіальна громада,UA32080070000050759,,56.196,57.163,260.8,569011.1508,524200.5748,-7.9%,113532.7155,116073.8585,більше 100,2.2%,28.40028786,37.00948743,39.03,38.11,20-40,-2.3%,0.812231406,0,13249.7,2534.813073,0.790146112,0,18406.8,803.5359154,900.8234918,206.9,138.2,100-200,-33.2%,1044.037075,1059.342777,158.77,112.91,100-200,-28.9%,1411.745477,1800.761518,478.9,551.15,більше 500,15.1%,13.11,11.14,10.2%,9.0%,менше 10,-11.9%
Сумська область,Охтирський район,Комишанська,сільська територіальна громада,UA59040090000041737,,3.125,3.06,131,51351.08574,47573.60196,-7.4%,9347.00795,14725.76492,5-20,57.5%,13.42056909,13.30489278,18.14,11.76,10-20,-35.2%,2.680267194,7841.4,0,8364.582148,2.506831189,7336.5,0,58.52059119,63.62778862,12.8,14.4,менше 25,12.8%,1113.023079,1105.053405,172.02,142.42,100-200,-17.2%,978.0871698,847.4755057,251.3,274.06,200-500,9.0%,12.16,10.27,13.0%,9.2%,менше 10,-29.2%
