Область,Район,Назва,"Категорія (міська, сільська, селищна)",В якому році остаточно сформована?,Кількість населених пунктів,Площа,Населення (2021)
Волинська область,Володимир-Волинський район,Локачинська територіальна громада,селищна,2020,28,344.4,13256
Волинська область,Володимир-Волинський район,Нововолинська територіальна громада,міська,2020,8,75.2,58182
Волинська область,Володимир-Волинський район,Оваднівська територіальна громада,сільська,2020,21,355.1,5726
Волинська область,Володимир-Волинський район,Павлівська територіальна громада,сільська,2020,20,254.8,8734
Волинська область,Володимир-Волинський район,Поромівська територіальна громада,сільська,2020,18,108.6,5676
Волинська область,Володимир-Волинський район,Устилузька територіальна громада,міська,2020,26,415.6,7243
Волинська область,Камінь-Каширський район,Камінь-Каширська територіальна громада,міська,2020,55,1421.9,55874
Волинська область,Камінь-Каширський район,Любешівська територіальна громада,селищна,2020,41,1239.1,29976
Волинська область,Камінь-Каширський район,Маневицька територіальна громада,селищна,2020,36,1097.2,26729
Волинська область,Камінь-Каширський район,Прилісненська територіальна громада,сільська,2020,11,526.7,8896
Волинська область,Камінь-Каширський район,Сошичненська територіальна громада,сільська,2020,12,394.8,9648
Волинська область,Ковельський район,Велимченська територіальна громада,сільська,2020,4,110.9,3752
Волинська область,Ковельський район,Велицька територіальна громада,сільська,2020,12,211.5,4010
Волинська область,Ковельський район,Вишнівська територіальна громада,сільська,2020,21,498.3,7899
Волинська область,Ковельський район,Голобська територіальна громада,селищна,2020,23,300.8,8555
Волинська область,Ковельський район,Головненська територіальна громада,селищна,2020,14,317.2,8308
Волинська область,Ковельський район,Дубечненська територіальна громада,сільська,2020,10,310.7,9269
Волинська область,Ковельський район,Дубівська територіальна громада,сільська,2020,10,204.7,5120
Волинська область,Ковельський район,Заболоттівська територіальна громада,селищна,2020,4,253.3,9485
Волинська область,Ковельський район,Забродівська територіальна громада,сільська,2020,18,333.8,10537
Волинська область,Ковельський район,Ковельська територіальна громада,міська,2020,15,311.1,73370
Волинська область,Ковельський район,Колодяжненська територіальна громада,сільська,2020,19,464.4,8345
Волинська область,Ковельський район,Луківська територіальна громада,селищна,2020,14,161.2,5043
Волинська область,Ковельський район,Люблинецька територіальна громада,селищна,2020,9,115,6388
Волинська область,Ковельський район,Любомльська територіальна громада,міська,2020,15,296.8,15887
Волинська область,Ковельський район,Поворська територіальна громада,сільська,2020,11,299.3,4461
Волинська область,Ковельський район,Ратнівська територіальна громада,селищна,2020,24,481.2,22317
Волинська область,Ковельський район,Рівненська територіальна громада,сільська,2020,17,333.5,5475
Волинська область,Ковельський район,Самарівська територіальна громада,сільська,2020,19,256.8,5460
Волинська область,Ковельський район,Сереховичівська територіальна громада,сільська,2020,11,167.6,3218
Волинська область,Ковельський район,Смідинська територіальна громада,сільська,2020,10,227.2,4277
Волинська область,Ковельський район,Старовижівська територіальна громада,селищна,2020,17,373.3,11973
Волинська область,Ковельський район,Турійська територіальна громада,селищна,2020,52,869,18451
Волинська область,Ковельський район,Шацька територіальна громада,селищна,2020,31,761.1,16482
Волинська область,Луцький район,Берестечківська територіальна громада,міська,2020,21,223.2,9312
Волинська область,Луцький район,Боратинська територіальна громада,сільська,2020,24,282.7,18666
Волинська область,Луцький район,Городищенська територіальна громада,сільська,2020,21,234.7,8994
Волинська область,Луцький район,Горохівська територіальна громада,міська,2020,41,494.9,25147
Волинська область,Луцький район,Доросинівська територіальна громада,сільська,2020,13,234.7,5676
Волинська область,Луцький район,Колківська територіальна громада,селищна,2020,28,763.5,20762
Волинська область,Луцький район,Копачівська територіальна громада,сільська,2020,14,178.4,5178
Волинська область,Луцький район,Ківерцівська територіальна громада,міська,2020,24,473.9,23442
Волинська область,Луцький район,Луцька територіальна громада,міська,2020,36,383.1,240292
Волинська область,Луцький район,Мар'янівська територіальна громада,селищна,2020,15,229.7,9519
Волинська область,Луцький район,Олицька територіальна громада,селищна,2020,17,270,11810
Волинська область,Луцький район,Підгайцівська територіальна громада,сільська,2020,20,285,20573
Волинська область,Луцький район,Рожищенська територіальна громада,міська,2020,37,461.5,26368
Волинська область,Луцький район,Торчинська територіальна громада,селищна,2020,24,286.8,13534
Волинська область,Луцький район,Цуманська територіальна громада,селищна,2020,16,447,17655
Дніпропетровська область,Дніпровський район,Дніпровська територіальна громада,міська,2020,2,406,983515
Дніпропетровська область,Дніпровський район,Китайгородська територіальна громада,сільська,2020,5,96.1,3217
Дніпропетровська область,Дніпровський район,Любимівська територіальна громада,сільська,2020,6,148.5,3615
Дніпропетровська область,Дніпровський район,Ляшківська територіальна громада,сільська,2020,9,83.2,2070
Дніпропетровська область,Дніпровський район,Миколаївська територіальна громада,сільська,2020,10,370.3,6634
Дніпропетровська область,Дніпровський район,Могилівська територіальна громада,сільська,2020,12,243.2,5971
Дніпропетровська область,Дніпровський район,Новоолександрівська територіальна громада,сільська,2020,12,252.6,10653
Дніпропетровська область,Дніпровський район,Новопокровська територіальна громада,селищна,2020,33,530.2,7826
Дніпропетровська область,Дніпровський район,Обухівська територіальна громада,селищна,2020,3,144.7,11785
Дніпропетровська область,Дніпровський район,Петриківська територіальна громада,селищна,2020,19,841,23028
Дніпропетровська область,Дніпровський район,Підгородненська територіальна громада,міська,2020,5,232.4,23400
Дніпропетровська область,Дніпровський район,Святовасилівська територіальна громада,сільська,2020,23,306.7,5023
Дніпропетровська область,Дніпровський район,Слобожанська територіальна громада,селищна,2020,6,257.6,23191
Дніпропетровська область,Дніпровський район,Солонянська територіальна громада,селищна,2020,51,899.7,24100
Дніпропетровська область,Дніпровський район,Сурсько-Литовська територіальна громада,сільська,2020,4,121.6,5786
Дніпропетровська область,Дніпровський район,Царичанська територіальна громада,селищна,2020,23,478.9,14473
Дніпропетровська область,Дніпровський район,Чумаківська територіальна громада,сільська,2020,11,192.9,4584
Дніпропетровська область,Кам’янський район,Божедарівська територіальна громада,селищна,2020,42,606.5,10624
Дніпропетровська область,Кам’янський район,Верхньодніпровська територіальна громада,міська,2020,48,1030.5,37577
Дніпропетровська область,Кам’янський район,Верхівцівська територіальна громада,міська,2020,11,151.2,11953
Дніпропетровська область,Кам’янський район,Вишнівська територіальна громада,селищна,2020,10,213.2,4440
Дніпропетровська область,Кам’янський район,Вільногірська територіальна громада,міська,2020,11,151.9,23768
Дніпропетровська область,Кам’янський район,Жовтоводська територіальна громада,міська,2020,4,79.1,44376
Дніпропетровська область,Кам’янський район,Затишнянська територіальна громада,сільська,2020,23,372.1,3888
Дніпропетровська область,Кам’янський район,Кам'янська територіальна громада,міська,2020,3,136.3,236672
Дніпропетровська область,Кам’янський район,Криничанська територіальна громада,селищна,2020,46,689.5,19105
Дніпропетровська область,Кам’янський район,Лихівська територіальна громада,селищна,2020,26,466.5,4846
Дніпропетровська область,Кам’янський район,П'ятихатська територіальна громада,міська,2020,31,500.3,25840
Дніпропетровська область,Кам’янський район,Саксаганська територіальна громада,сільська,2020,19,406.3,6977
Дніпропетровська область,Криворізький район,Апостолівська територіальна громада,міська,2020,20,676.5,22208
Дніпропетровська область,Криворізький район,Вакулівська територіальна громада,сільська,2020,18,285.3,2838
Дніпропетровська область,Криворізький район,Глеюватська територіальна громада,сільська,2020,19,343.6,7675
Дніпропетровська область,Криворізький район,Гречаноподівська територіальна громада,сільська,2020,15,257,4512
Дніпропетровська область,Криворізький район,Грушівська територіальна громада,сільська,2020,7,268,6174
Дніпропетровська область,Криворізький район,Девладівська територіальна громада,сільська,2020,34,408.6,5255
Дніпропетровська область,Криворізький район,Зеленодольська територіальна громада,міська,2020,4,310.4,18637
Дніпропетровська область,Криворізький район,Карпівська територіальна громада,сільська,2020,26,366.2,5377
Дніпропетровська область,Криворізький район,Криворізька територіальна громада,міська,2020,6,431.9,615492
Дніпропетровська область,Криворізький район,Лозуватська територіальна громада,сільська,2020,32,563.8,18910
Дніпропетровська область,Криворізький район,Нивотрудівська територіальна громада,сільська,2020,8,129.3,4635
Дніпропетровська область,Криворізький район,Новолатівська територіальна громада,сільська,2020,11,267.3,2507
Дніпропетровська область,Криворізький район,Новопільська територіальна громада,сільська,2020,38,444.8,16631
Дніпропетровська область,Криворізький район,Софіївська територіальна громада,селищна,2020,29,667.9,12074
Дніпропетровська область,Криворізький район,Широківська територіальна громада,селищна,2020,16,304.3,12742
Дніпропетровська область,Новомосковський район,Губиниська територіальна громада,селищна,2020,25,748.3,18173
Дніпропетровська область,Новомосковський район,Личківська територіальна громада,сільська,2020,8,298.1,5086
Дніпропетровська область,Новомосковський район,Магдалинівська територіальна громада,селищна,2020,36,923.4,21442
Дніпропетровська область,Новомосковський район,Новомосковська територіальна громада,міська,2020,1,36,70230
Дніпропетровська область,Новомосковський район,Перещепинська територіальна громада,міська,2020,21,575.7,20639
Дніпропетровська область,Новомосковський район,Піщанська територіальна громада,сільська,2020,9,399.2,18668
Дніпропетровська область,Новомосковський район,Черкаська територіальна громада,селищна,2020,2,190.3,10293
Дніпропетровська область,Новомосковський район,Чернеччинська територіальна громада,сільська,2020,8,307.2,4744
Дніпропетровська область,Нікопольський район,Марганецька територіальна громада,міська,2020,8,264.1,48474
Дніпропетровська область,Нікопольський район,Мирівська територіальна громада,сільська,2020,15,321,7122
Дніпропетровська область,Нікопольський район,Нікопольська територіальна громада,міська,2020,1,50.7,107464
Дніпропетровська область,Нікопольський район,Першотравневська територіальна громада,сільська,2020,45,790.9,12327
Дніпропетровська область,Нікопольський район,Покровська територіальна громада,сільська,2020,50,696.7,20038
Дніпропетровська область,Нікопольський район,Покровська територіальна громада,міська,2020,6,170.1,42875
Дніпропетровська область,Нікопольський район,Томаківська територіальна громада,селищна,2020,35,669,14416
Дніпропетровська область,Нікопольський район,Червоногригорівська територіальна громада,селищна,2020,7,442.1,12511
Дніпропетровська область,Павлоградський район,Богданівська територіальна громада,сільська,2020,10,496.9,9737
Дніпропетровська область,Павлоградський район,Вербківська територіальна громада,сільська,2020,16,583.2,8097
Дніпропетровська область,Павлоградський район,Межиріцька територіальна громада,сільська,2020,12,270,6805
Дніпропетровська область,Павлоградський район,Павлоградська територіальна громада,міська,2020,1,58.8,103073
Дніпропетровська область,Павлоградський район,Тернівська територіальна громада,міська,2020,2,14.3,27320
Дніпропетровська область,Павлоградський район,Троїцька територіальна громада,сільська,2020,10,237.9,3450
Дніпропетровська область,Павлоградський район,Юр’ївська територіальна громада,селищна,2020,47,769,11768
Дніпропетровська область,Синельниківський район,Іларіонівська територіальна громада,селищна,2020,17,235.4,12995
Дніпропетровська область,Синельниківський район,Брагинівська територіальна громада,сільська,2020,18,323.7,3892
Дніпропетровська область,Синельниківський район,Васильківська територіальна громада,селищна,2020,56,882.4,21999
Дніпропетровська область,Синельниківський район,Великомихайлівська територіальна громада,сільська,2020,16,271,3779
Дніпропетровська область,Синельниківський район,Дубовиківська територіальна громада,сільська,2020,27,448.6,8670
Дніпропетровська область,Синельниківський район,Зайцівська територіальна громада,сільська,2020,15,257,3410
Дніпропетровська область,Синельниківський район,Маломихайлівська територіальна громада,сільська,2020,5,243.6,8722
Дніпропетровська область,Синельниківський район,Межівська територіальна громада,селищна,2020,30,631.4,14946
Дніпропетровська область,Синельниківський район,Миколаївська територіальна громада,сільська,2020,17,459.5,9764
Дніпропетровська область,Синельниківський район,Новопавлівська територіальна громада,сільська,2020,11,327.1,3901
Дніпропетровська область,Синельниківський район,Першотравенська територіальна громада,міська,2020,1,2.9,27573
Дніпропетровська область,Синельниківський район,Петропавлівська територіальна громада,селищна,2020,8,207.1,8489
Дніпропетровська область,Синельниківський район,Покровська територіальна громада,селищна,2020,13,538.8,10316
Дніпропетровська область,Синельниківський район,Раївська територіальна громада,сільська,2020,47,677.3,10501
Дніпропетровська область,Синельниківський район,Роздорська територіальна громада,селищна,2020,10,145.6,3062
Дніпропетровська область,Синельниківський район,Синельниківська територіальна громада,міська,2020,1,23.9,30021
Дніпропетровська область,Синельниківський район,Славгородська територіальна громада,селищна,2020,24,239.8,5044
Дніпропетровська область,Синельниківський район,Слов'янська територіальна громада,сільська,2020,11,293.3,3371
Дніпропетровська область,Синельниківський район,Українська територіальна громада,сільська,2020,8,258.8,2534
Донецька область,Бахмутський район,Бахмутська територіальна громада,міська,2020,19,439.8,80377
Донецька область,Бахмутський район,Званівська територіальна громада,сільська,2020,6,115.5,2418
Донецька область,Бахмутський район,Світлодарська територіальна громада,міська,2020,19,297.7,29167
Донецька область,Бахмутський район,Соледарська територіальна громада,міська,2020,37,567.1,19753
Донецька область,Бахмутський район,Сіверська територіальна громада,міська,2020,7,195.4,13244
Донецька область,Бахмутський район,Торецька територіальна громада,міська,2020,19,67.5,66369
Донецька область,Бахмутський район,Часовоярська територіальна громада,міська,2020,4,65.3,13200
Донецька область,Волноваський район,Великоновосілківська територіальна громада,селищна,2020,29,907.9,18710
Донецька область,Волноваський район,Волноваська територіальна громада,міська,2020,23,538.4,36134
Донецька область,Волноваський район,Вугледарська територіальна громада,міська,2020,15,596.5,25980
Донецька область,Волноваський район,Комарська територіальна громада,сільська,2020,24,423.2,6948
Донецька область,Волноваський район,Мирненська територіальна громада,селищна,2020,15,415.6,11845
Донецька область,Волноваський район,Ольгинська територіальна громада,селищна,2020,11,341.8,19174
Донецька область,Волноваський район,Старомлинівська територіальна громада,сільська,2020,14,571.8,10800
Донецька область,Волноваський район,Хлібодарівська територіальна громада,сільська,2020,27,662.2,12206
Донецька область,Краматорський район,Іллінівська територіальна громада,сільська,2020,25,523.3,8897
Донецька область,Краматорський район,Андріївська територіальна громада,сільська,2020,5,159.6,2230
Донецька область,Краматорський район,Дружківська територіальна громада,міська,2020,20,289.3,66823
Донецька область,Краматорський район,Костянтинівська територіальна громада,міська,2020,24,467.4,73979
Донецька область,Краматорський район,Краматорська територіальна громада,міська,2020,15,412.7,183946
Донецька область,Краматорський район,Лиманська територіальна громада,міська,2020,40,1205.4,41066
Донецька область,Краматорський район,Миколаївська територіальна громада,міська,2020,15,334.3,20943
Донецька область,Краматорський район,Новодонецька територіальна громада,селищна,2020,20,280,10723
Донецька область,Краматорський район,Олександрівська територіальна громада,селищна,2020,42,732.8,12320
Донецька область,Краматорський район,Святогірська територіальна громада,міська,2020,13,375.7,8903
Донецька область,Краматорський район,Слов'янська територіальна громада,міська,2020,5,119,115026
Донецька область,Краматорський район,Черкаська територіальна громада,селищна,2020,11,294.6,8703
Донецька область,Маріупольський район,Кальчицька територіальна громада,сільська,2020,16,440.1,9894
Донецька область,Маріупольський район,Мангушська територіальна громада,селищна,2020,17,637.8,21307
Донецька область,Маріупольський район,Маріупольська територіальна громада,міська,2020,11,375.3,441489
Донецька область,Маріупольський район,Нікольська територіальна громада,селищна,2020,27,784.7,16999
Донецька область,Маріупольський район,Сартанська територіальна громада,селищна,2020,18,396.3,20736
Донецька область,Покровський район,Авдіївська територіальна громада,міська,2020,2,30.2,32579
Донецька область,Покровський район,Білозерська територіальна громада,міська,2020,7,68.7,15738
Донецька область,Покровський район,Гродівська територіальна громада,селищна,2020,32,340.3,9518
Донецька область,Покровський район,Добропільська територіальна громада,міська,2020,16,265.5,43827
Донецька область,Покровський район,Криворізька територіальна громада,сільська,2020,22,276.5,4011
Донецька область,Покровський район,Курахівська територіальна громада,міська,2020,28,351.6,38776
Донецька область,Покровський район,Мар'їнська територіальна громада,міська,2020,17,485.3,33643
Донецька область,Покровський район,Мирноградська територіальна громада,міська,2020,5,66.7,48894
Донецька область,Покровський район,Новогродівська територіальна громада,міська,2020,15,157.2,19380
Донецька область,Покровський район,Очеретинська територіальна громада,селищна,2020,40,726,21399
Донецька область,Покровський район,Покровська територіальна громада,міська,2020,41,515.5,82388
Донецька область,Покровський район,Селидівська територіальна громада,міська,2020,9,150.2,35403
Донецька область,Покровський район,Удачненська територіальна громада,селищна,2020,7,216,3910
Донецька область,Покровський район,Шахівська територіальна громада,сільська,2020,22,354.4,4021
Житомирська область,Бердичівський район,Андрушівська територіальна громада,міська,2020,25,615.4,19923
Житомирська область,Бердичівський район,Бердичівська територіальна громада,міська,2020,3,82.4,75236
Житомирська область,Бердичівський район,Вчорайшенська територіальна громада,сільська,2020,13,270.9,5101
Житомирська область,Бердичівський район,Гришковецька територіальна громада,селищна,2020,17,216.6,9657
Житомирська область,Бердичівський район,Краснопільська територіальна громада,сільська,2020,17,337.6,7585
Житомирська область,Бердичівський район,Райгородоцька територіальна громада,сільська,2020,21,252,7047
