"vpo_thsd","new_population_thsd","hromada_code"
17.3,125.2,"UA68020110000071202"
0.1,4.1,"UA68040290000010822"
0.6,5.6,"UA68060150000029549"
0.6,8.9,"UA68020210000024765"
0.5,6.1,"UA68040410000062890"
2,26.6,"UA68040450000097735"
36.5,329.4,"UA68040470000053519"
4.2,46.5,"UA68060330000029010"
0.4,4.2,"UA68040510000019366"
1.6,20.2,"UA68040530000044109"
0.6,9.1,"UA71080050000028174"
0.5,5.4,"UA71020110000015834"
0.3,5.1,"UA71020230000095267"
3.9,34.6,"UA71020290000032540"
1.6,8.7,"UA71020270000021083"
1.1,7.2,"UA71080310000072487"
1.3,7.5,"UA71020250000078192"
0.7,9.6,"UA71080330000082129"
3.2,36.3,"UA71020330000027449"
1.3,8.1,"UA71080410000061690"
0.8,6,"UA71080270000076233"
6.9,35.4,"UA71060090000088339"
1.9,21,"UA71080130000078619"
1.4,4.9,"UA71080210000074132"
1,5.3,"UA71060110000085867"
1.7,16.2,"UA71060190000086831"
0.3,7.4,"UA71080430000025181"
2.2,20.2,"UA71040130000029175"
0.3,4.1,"UA71020210000030936"
0.2,3.8,"UA71040110000054881"
0.5,6.3,"UA71080250000099725"
1,6.1,"UA71060050000056084"
0.9,10.2,"UA71080010000073303"
0.4,5.8,"UA71080030000050121"
1.6,6,"UA71080070000050993"
0.8,4.2,"UA71020010000037786"
0.3,3.4,"UA71040010000032874"
1.5,10.5,"UA71020070000078820"
0.8,6.6,"UA71020090000047211"
1,10.4,"UA71060070000098837"
1,11.1,"UA71060130000099511"
0.4,8.5,"UA71080190000038712"
0.2,3.3,"UA71020170000024193"
2.5,16.2,"UA71020190000034403"
0.2,3.9,"UA71080230000065521"
1,14.6,"UA71080350000033809"
0.6,5.7,"UA71080370000064287"
0.5,5.8,"UA71080450000083423"
1,15,"UA71080470000038153"
2.7,21.5,"UA71080510000028067"
0.6,5.2,"UA71020310000027379"
4.1,30.7,"UA71080150000071745"
2,17.5,"UA71040070000034468"
1.1,5.1,"UA71060030000053648"
1.2,5,"UA71020050000074004"
0.6,7,"UA71060010000027807"
1,5.8,"UA71080090000075810"
3.3,23.8,"UA71020030000059581"
0.4,5.3,"UA71040030000055285"
1.1,9.1,"UA71040050000016509"
3,25.4,"UA71080110000055395"
3.9,30.9,"UA71020130000086047"
3.2,38.1,"UA71040090000047664"
1.2,13.9,"UA71020150000082849"
3.6,24,"UA71080170000080118"
2.7,20.3,"UA71060150000062190"
6.3,40.2,"UA71060170000092613"
1.4,15.9,"UA71080290000067044"
1.4,11.2,"UA71040150000026547"
0.9,7.5,"UA71040170000034734"
6.4,72.1,"UA71080390000078978"
10.2,92.7,"UA71060210000032972"
3.4,35.1,"UA71060230000095772"
29.4,300.1,"UA71080490000022110"
1.6,21.4,"UA71040190000080571"
2.2,13.4,"UA71040210000024694"
0.4,5,"UA73040010000039325"
1.3,15.2,"UA73060050000034325"
0.5,7.4,"UA73060110000070017"
1.2,20.3,"UA73060150000088691"
0.7,15.4,"UA73040050000080963"
0.4,12.1,"UA73040090000036527"
1,13.2,"UA73040110000040354"
0.4,6.8,"UA73040150000056182"
2.9,38.9,"UA73040170000011490"
0.6,6,"UA73020170000016631"
0.6,12.8,"UA73020070000035367"
2.6,19.2,"UA73020090000031499"
2.7,44.7,"UA73060490000033679"
0.4,11.6,"UA73060330000039245"
0.3,6.5,"UA73060550000052402"
0.5,14.9,"UA73060630000091311"
0.2,5,"UA73020110000071923"
0.2,4.9,"UA73020150000076225"
0.6,13.9,"UA73060430000042676"
1.5,21.3,"UA73060370000059595"
1.6,22.2,"UA73060290000034305"
0.4,9.8,"UA73060350000057190"
0.4,6.2,"UA73060090000047054"
0.7,11.1,"UA73060650000012771"
0.3,4.6,"UA73060310000074904"
1.6,29.6,"UA73060410000077092"
0.5,18.4,"UA73060130000078771"
0.6,9.9,"UA73060190000043347"
0.3,7.8,"UA73060390000017602"
0.2,6.4,"UA73060470000040033"
1.7,19.6,"UA73040190000062796"
1,11.1,"UA73060590000095243"
1.2,11.6,"UA73040130000087963"
0.2,14.5,"UA73060030000078843"
0.1,4.5,"UA73060270000016588"
0.3,8.1,"UA73060510000025800"
0.3,8.2,"UA73060210000010691"
0.5,7.8,"UA73020010000044067"
2.5,20.7,"UA73020030000022011"
0.3,6.6,"UA73060010000052133"
0.6,9.7,"UA73020050000061546"
0.3,8.3,"UA73060070000082869"
0.3,6.1,"UA73060170000031531"
0.6,10.7,"UA73060230000024500"
0.9,11.9,"UA73060250000049790"
2.1,33.7,"UA73040030000042378"
0.2,6.8,"UA73040070000053425"
0.2,8.3,"UA73060450000099566"
0.7,11.9,"UA73020130000092871"
0.3,7.8,"UA73060530000099979"
0.4,12,"UA73060570000058573"
42.7,312.1,"UA73060610000066784"
0.2,8,"UA74040090000047246"
-0.2,9.8,"UA74100070000057810"
0.3,5.7,"UA74100170000043593"
0.1,3.6,"UA74040210000018988"
0.1,6.5,"UA74080110000023749"
0.3,7.3,"UA74040010000076097"
0.4,20.8,"UA74020010000010449"
1.3,20.5,"UA74040290000072674"
1.2,10.1,"UA74100310000091595"
-0.6,21,"UA74020050000033944"
0,6.1,"UA74100030000076377"
1.3,16.5,"UA74060010000052907"
0.2,9.6,"UA74040190000070909"
0.7,13,"UA74100250000038291"
-0.4,6.9,"UA74100110000030364"
0.1,4.1,"UA74040230000022565"
2.5,27.6,"UA74020030000069340"
1.1,16.9,"UA74100190000086457"
0.4,4.8,"UA74040150000010608"
-0.5,5.5,"UA74040270000069132"
1.4,25.6,"UA74040050000013413"
0,2.5,"UA74040310000039217"
-0.1,3.8,"UA74100370000041962"
0.5,22.5,"UA74080030000040714"
4.9,19,"UA74100210000053397"
0.2,4.6,"UA74080090000092409"
0.2,5.5,"UA74100230000068041"
-2.4,13.2,"UA74060070000028810"
1.4,16.2,"UA74020070000037186"
0.4,10.7,"UA74080150000033167"
0.4,11.9,"UA74080190000091939"
0.2,4.7,"UA74020090000083820"
0.2,3.4,"UA74100290000084770"
0,4.2,"UA74040110000021989"
0.9,15.5,"UA74080010000063011"
-1.4,19.6,"UA74100050000019554"
0.3,4.8,"UA74080070000022285"
-1.3,65.3,"UA74040250000063494"
-0.5,23.5,"UA74060030000026607"
1.1,16.5,"UA74040070000086652"
0,9.8,"UA74100270000049748"
-0.6,4,"UA74100130000039404"
0.1,4.9,"UA74100090000064336"
-0.2,5.2,"UA74100150000090847"
0.8,8.1,"UA74060050000061355"
0.4,12.6,"UA74080170000055617"
-0.1,4.4,"UA74040330000024949"
0.9,29.7,"UA74040030000093042"
1.2,8.6,"UA74100010000063674"
-0.2,4.7,"UA74040130000094076"
0,3.5,"UA74040170000037628"
0.3,8.7,"UA74080050000033938"
1.6,53.2,"UA74080130000060606"
0.1,14.2,"UA74100330000029082"
0.2,3.5,"UA74100350000075160"
-44.3,238.4,"UA74100390000073425"
0.2,3.5,"UA74080210000098421"
3.1,47.6,"UA05120070000075759"
0.3,6.1,"UA05100110000070795"
2.5,23.6,"UA05020090000067118"
0.8,10.1,"UA05100030000051497"
4.3,44,"UA05060010000053179"
2.5,30.5,"UA05020170000049432"
4.2,47.2,"UA05100150000050790"
1.1,18.2,"UA05020050000066991"
2.1,16.4,"UA05040050000080930"
4.3,22.7,"UA05020190000015755"
2,23.5,"UA05100130000061386"
1.4,17.2,"UA05100170000071290"
0.5,5.7,"UA05080010000038400"
0.5,5.8,"UA05120030000061384"
1.4,13.9,"UA05040070000093188"
1,8,"UA05040190000039450"
0.7,8.4,"UA05060110000027268"
0.8,12.2,"UA05060090000058521"
1.2,17.6,"UA05020310000080026"
0.3,4.3,"UA05040110000042036"
1.2,14.4,"UA05120050000063063"
1,12,"UA05120010000076685"
0.7,10.1,"UA05100010000023453"
0.7,12,"UA05020150000074651"
1.1,8.6,"UA05040090000093950"
1.3,19.8,"UA05020070000010139"
2.6,26.1,"UA05040250000027965"
2.6,26.1,"UA05040250000027965"
46.6,434.1,"UA05020030000031457"
5.3,48.3,"UA05120170000013778"
1.8,18.7,"UA05040230000017028"
0.8,8.6,"UA05040210000068217"
0.9,22.1,"UA05020130000056031"
4,52.2,"UA05060050000058111"
0.4,7,"UA05020250000055470"
0.8,8.6,"UA05120110000018679"
0.9,10.3,"UA05020010000053508"
3.8,45.8,"UA05040010000022470"
1.1,14.7,"UA05080030000089348"
4.2,47.7,"UA05040030000050131"
0.8,12.3,"UA05100050000038768"
1,13.6,"UA05060030000026125"
3.2,35.6,"UA05120090000060589"
0.6,8.4,"UA05060070000012952"
1.8,21.5,"UA05100070000035159"
2.6,27.2,"UA05040130000025322"
2.3,22.6,"UA05020110000052014"
5.2,47.3,"UA05080050000023603"
2.3,22.7,"UA05080070000010150"
1,10.6,"UA05040150000077146"
0.6,6.7,"UA05040170000093514"
1.1,14.6,"UA05100090000029847"
6.2,33.2,"UA05020210000033427"
1.2,9.5,"UA05120130000014261"
0.6,8,"UA05060130000030729"
1,20.2,"UA05020230000029909"
0.8,11.8,"UA05020270000044358"
1.2,16.5,"UA05020290000092626"
1.8,17.1,"UA05120150000069474"
1.5,16.7,"UA05080090000089922"
1.3,14.6,"UA05040270000051651"
2.5,26.5,"UA05060150000094411"
4.2,40.8,"UA05080110000056824"
0.8,7.4,"UA05080130000024964"
0,3.9,"UA07060030000041840"
0.3,8.6,"UA07060070000063773"
0.2,8.6,"UA07020050000082369"
0.2,7.3,"UA07020210000033081"
0.2,6.4,"UA07060250000039902"
1.1,17.4,"UA07060450000051170"
0.1,9.2,"UA07060150000038564"
0.2,5.3,"UA07060130000030797"
0.1,4.1,"UA07020090000019505"
0.2,8.8,"UA07020170000049971"
0.1,4.4,"UA07060290000054842"
0.1,5.7,"UA07020190000043658"
0.2,9.3,"UA07040070000058434"
0.2,8.3,"UA07060210000030014"
0.6,8.9,"UA07060050000091514"
0.2,10,"UA07060170000059479"
0,5.1,"UA07060350000084520"
0.3,9.5,"UA07020070000082628"
0.5,18.2,"UA07080290000088287"
0.8,15.8,"UA07080030000051738"
0.9,31.3,"UA07040030000028082"
0.3,6.1,"UA07060330000052414"
0.3,8.9,"UA07060090000026043"
1.2,17.2,"UA07060270000021892"
0.7,23.2,"UA07080130000017070"
0.1,3.5,"UA07060010000090019"
0.1,6.1,"UA07080150000089103"
0.2,9.9,"UA07060110000041168"
0.1,3.5,"UA07060370000022360"
0.1,4.6,"UA07060390000098670"
0.2,5.3,"UA07060230000029166"
0.8,19.9,"UA07060430000041345"
0.1,5.7,"UA07020150000092012"
0.1,9.1,"UA07080050000014573"
0.2,8.3,"UA07020030000052032"
0.3,12.3,"UA07080270000067148"
0.9,24.3,"UA07080110000043895"
1.3,18.6,"UA07080230000046097"
0.5,12.7,"UA07060410000041366"
16.1,252.4,"UA07080170000013585"
0.3,11,"UA07080190000072811"
0.1,6.7,"UA07080090000017614"
0.2,9.4,"UA07040090000043197"
0.4,11.1,"UA07080010000062933"
3,45,"UA07020010000096841"
1,29,"UA07080070000052255"
1.9,55.8,"UA07040010000033507"
4.2,77,"UA07060190000036342"
0.2,13.4,"UA07020110000037373"
0.8,28.5,"UA07040050000080830"
4.8,62.2,"UA07020130000036300"
0.2,12.1,"UA07080210000090779"
0.4,21.7,"UA07060310000037369"
1.1,29.2,"UA07080250000053335"
1,22.8,"UA12060010000090992"
1.2,10.8,"UA12120010000087180"
0.7,8.6,"UA12120030000075687"
0.2,5.1,"UA12020230000085693"
0.1,2.9,"UA12060030000081794"
-4.6,13.8,"UA12060130000012028"
1.1,7.2,"UA12060090000074553"
0.2,2.2,"UA12020070000057092"
1,6.9,"UA12020110000034205"
0.1,4.7,"UA12060210000077302"
2.3,12.8,"UA12020130000022909"
0.7,8.4,"UA12020150000050274"
2.2,26,"UA12020270000063450"
0.5,6.2,"UA12020290000063321"
3.2,27.1,"UA12020250000010438"
0.7,7.7,"UA12080030000022466"
0.4,10.9,"UA12040010000018960"
2.4,24,"UA12140030000091432"
0.2,4.6,"UA12040070000083117"
1.5,20.2,"UA12040170000019083"
0.2,4.9,"UA12040190000056469"
3.4,23.1,"UA12140250000015858"
0.2,3.2,"UA12140290000032227"
0.6,12.5,"UA12060270000017282"
4.7,18.9,"UA12080130000071360"
1.1,15.3,"UA12020310000017431"
-0.8,2.9,"UA12140050000051356"
0,4.4,"UA12060070000012840"
0.3,8.8,"UA12140130000052990"
-0.1,2.4,"UA12060230000032833"
0.8,4.6,"UA12140190000047361"
0.5,9,"UA12140070000025486"
3.8,40.7,"UA12040050000057182"
4.4,19.1,"UA12140150000054570"
8.6,20.7,"UA12080070000077032"
-2,10.3,"UA12080150000061416"
0.8,7.5,"UA12120050000027007"
0.5,3.8,"UA12120110000010894"
2.1,24.8,"UA12020190000075117"
1.7,11.2,"UA12140170000037152"
0.1,3.5,"UA12140090000053443"
0.5,10.8,"UA12140270000072109"
1,13.8,"UA12140110000060935"
0.6,5.6,"UA12140330000063909"
0.5,3.7,"UA12020030000073022"
0,5.2,"UA12060150000015198"
-1.3,11.2,"UA12060290000039013"
0.8,11.6,"UA12120130000021632"
0.3,3.9,"UA12020050000026654"
0.4,2.9,"UA12140370000059352"
0.3,7.2,"UA12040230000099388"
0.1,5.3,"UA12060110000015305"
0.5,5.5,"UA12100030000084605"
1.7,22.1,"UA12100090000022751"
2.9,21.3,"UA12100110000043499"
0.6,5.1,"UA12020330000076598"
-10.9,36.8,"UA12080010000029838"
9,51.1,"UA12080090000039979"
0.2,7.7,"UA12060050000031212"
0.2,4,"UA12040130000037856"
1.5,22.7,"UA12100050000045992"
1.9,13.6,"UA12020170000068526"
0.5,5.1,"UA12100150000039396"
3.2,26.3,"UA12020210000032285"
0.5,10.7,"UA12100130000095653"
25.7,259.4,"UA12040150000015189"
0.7,4.6,"UA12140010000024967"
0.5,12.3,"UA12040030000066040"
1.3,24.7,"UA12040090000029346"
1.6,19.5,"UA12100010000093577"
159.1,1130.2,"UA12020010000033698"
5,48.5,"UA12040110000091524"
56.1,662.7,"UA12060170000091033"
0.7,19.2,"UA12060190000043514"
0.4,7,"UA12020090000044548"
-43.9,61.2,"UA12080050000062712"
7.1,77,"UA12100070000011492"
0.4,16.7,"UA12060250000064393"
14.8,116.3,"UA12120070000057518"
5.9,33,"UA12140210000089021"
1.8,10.1,"UA12140230000057328"
5,15.1,"UA12080110000055958"
1.4,26.8,"UA12040210000039759"
2,31.7,"UA12140310000078816"
0.8,4.1,"UA12140350000058140"
5.2,32.2,"UA12120090000031622"
1.6,41.8,"UA14120110000031497"
0.2,4.1,"UA14160270000099007"
-0.4,8.2,"UA14120230000038918"
-3.7,16.9,"UA14120130000086767"
-10.8,8.5,"UA14020090000073988"
4.5,13.2,"UA14120050000033910"
-4.8,8.2,"UA14020070000070354"
-1.7,0.7,"UA14020030000023064"
1,3.2,"UA14120010000096882"
0.9,12.9,"UA14120170000011133"
-29.4,49.6,"UA14020010000088496"
-2.4,23.1,"UA14040050000064688"
-0.6,3.3,"UA14160090000058463"
-16,16,"UA14160010000086090"
-3.1,12.4,"UA14160030000019136"
-2.9,15.4,"UA14040010000017239"
25.6,61.1,"UA14040030000025138"
-0.7,8.6,"UA14160050000083011"
-9.2,33.7,"UA14160070000097326"
-7.1,58.4,"UA14120030000057882"
1.7,11.4,"UA14140010000044623"
-0.4,6.4,"UA14040070000032181"
-5.4,67,"UA14120070000090878"
-31.4,149.5,"UA14120090000098500"
2.7,40.8,"UA14160110000031920"
12,32.9,"UA14140030000092230"
-13.5,19.5,"UA14160130000011561"
9.1,444.3,"UA14140050000020560"
-2.8,8.8,"UA14040090000061195"
-0.4,47.6,"UA14160150000038750"
8,24.7,"UA14140070000060361"
5.4,24.4,"UA14160170000023385"
-1,9.5,"UA14120150000071686"
6.6,25.4,"UA14040110000019914"
-4.2,16.8,"UA14160190000059231"
-9.1,71.9,"UA14160210000011148"
-5.1,15.3,"UA14140090000015932"
-3.3,25.4,"UA14020050000019803"
2.7,11.5,"UA14120190000021407"
3.7,38.5,"UA14160230000060952"
-8,105.1,"UA14120210000056793"
0.9,11.4,"UA14040130000068575"
-22.1,43,"UA14020110000075529"
-0.1,3.8,"UA14160250000075646"
2.1,14.1,"UA14040150000099558"
-5.6,7.3,"UA14020130000080900"
0.1,2.4,"UA18040070000059677"
0.4,3.5,"UA18040090000077574"
0.2,3.8,"UA18080110000095378"
0.4,9.3,"UA18060070000095797"
-0.9,8.4,"UA18060150000038188"
0.2,8.3,"UA18040330000027310"
0.5,3.9,"UA18040410000025491"
0.3,9.9,"UA18040530000045696"
0.7,6.1,"UA18020170000036711"
2.1,7.4,"UA18040230000036046"
1.9,26.8,"UA18080010000090720"
1.8,31.2,"UA18040250000068141"
1.5,35.7,"UA18060190000071101"
5.8,19.8,"UA18040050000049937"
0.3,8.4,"UA18080070000029133"
0.8,9.5,"UA18080090000055832"
0.3,15.4,"UA18060110000061631"
0.7,7.6,"UA18040310000093693"
3.6,19.7,"UA18040390000055900"
0.7,18.3,"UA18040570000099817"
0.2,6,"UA18060250000078729"
1.3,5,"UA18040010000031446"
0.7,7.3,"UA18080030000019784"
0.2,5.9,"UA18060010000047628"
0,2.8,"UA18060050000027575"
1.1,5,"UA18040210000044466"
1.1,8.5,"UA18020090000092001"
0.3,5.3,"UA18020150000084693"
0.2,16.9,"UA18040490000014752"
0.2,9.6,"UA18060230000071114"
0.2,6.9,"UA18080210000038722"
1.7,22.8,"UA18080130000032098"
1.9,27.2,"UA18040290000063354"
0.3,8,"UA18080050000083590"
0.2,4,"UA18080170000023999"
0.6,11.4,"UA18060210000083283"
-0.8,35.5,"UA18060170000069581"
0.7,8.5,"UA18040270000050167"
0.9,14.7,"UA18040430000080827"
4.1,29.2,"UA18040450000079138"
0.3,11.1,"UA18040150000019024"
0.3,8.4,"UA18040370000055940"
0.5,6.8,"UA18040110000034222"
0.9,5.9,"UA18020050000058053"
0.7,10.2,"UA18020070000083539"
0.4,7.3,"UA18020110000026941"
1.7,21.1,"UA18040610000049084"
0.3,4.4,"UA18020190000022756"
-1.7,261.6,"UA18040190000029215"
1.3,62.4,"UA18080150000022496"
0.2,5.1,"UA18080190000029932"
0.1,1.9,"UA18040550000062361"
0.6,5.6,"UA18040510000013419"
3.2,22.7,"UA18020010000059904"
3.1,77.4,"UA18020030000035625"
0.3,9.3,"UA18040030000089649"
0,5.4,"UA18040130000075048"
-0.1,4.6,"UA18060030000039943"
-0.4,3.2,"UA18040170000089964"
-1.6,69.9,"UA18060090000061708"
-3,33.7,"UA18060130000061781"
-0.1,23.5,"UA18040350000040746"
1.8,20.1,"UA18040470000074046"
5.1,24.5,"UA18020130000096761"
0.2,19.8,"UA18040590000064402"
0.2,7.9,"UA18080230000071226"
0.7,13.1,"UA21080050000056542"
2.3,21.6,"UA21080150000014443"
5.8,19.5,"UA21040210000079273"
2.5,38.2,"UA21120130000025618"
1.6,14,"UA21100130000055002"
1.4,12.2,"UA21100010000070243"
17,127.1,"UA21040150000092428"
0.9,10.9,"UA21100030000089881"
0.5,9.7,"UA21040070000029344"
1,17.7,"UA21120070000032447"
0.4,8.7,"UA21120110000065395"
0.4,9.8,"UA21020130000047547"
1,15.9,"UA21120150000079563"
0.4,8.1,"UA21020170000069101"
1.5,8.1,"UA21100110000018765"
2.5,16.9,"UA21100250000028639"
6.2,49.9,"UA21020030000019624"
0.5,12.5,"UA21020010000055068"
0.6,7.1,"UA21080010000097427"
1.5,22,"UA21120010000011654"
0.7,11.2,"UA21060010000011784"
2,27.7,"UA21080030000084057"
0.3,6.4,"UA21020050000065800"
0.6,8.2,"UA21020070000015036"
2.3,31.7,"UA21060030000020114"
0.3,11.8,"UA21100050000042361"
1.7,23.3,"UA21040010000055885"
0.8,8,"UA21040030000026359"
0.8,15.5,"UA21020090000083647"
5.6,68.7,"UA21020110000091104"
3.3,19.3,"UA21120030000076462"
1.6,10.4,"UA21040050000032164"
0.7,13.4,"UA21120050000055437"
0.7,14.5,"UA21120090000025804"
0.9,21.2,"UA21080070000025254"
0.2,6.9,"UA21100070000018509"
0.6,5.3,"UA21040090000072363"
0.6,9.8,"UA21040110000099623"
0.8,9.4,"UA21120170000080579"
0.9,10.5,"UA21040130000019237"
1.2,24,"UA21020150000043098"
0.7,5.8,"UA21100090000012128"
2.1,26.8,"UA21120190000082169"
0.3,5.5,"UA21040170000092506"
1,31.5,"UA21080090000024861"
0.9,10.7,"UA21040190000088960"
0.7,20.3,"UA21020190000086409"
1.7,8.7,"UA21120210000094884"
2.7,26.1,"UA21060050000029937"
3,30.5,"UA21040230000091606"
1.1,15.5,"UA21100150000019483"
0.7,7,"UA21120230000041982"
2.5,37.4,"UA21080110000054940"
0.6,7.5,"UA21100170000051803"
0.6,10.1,"UA21100190000078736"
0.8,17.4,"UA21080130000093757"
1,17,"UA21100210000026937"
0.5,11.1,"UA21080170000093911"
27.3,142.8,"UA21100230000083101"
0.4,7.3,"UA21080190000094580"
7.7,88.1,"UA21120250000077532"
2,16.8,"UA21040250000010914"
2,17.5,"UA21100270000015047"
2.9,21.5,"UA21060070000049340"
-0.4,4,"UA23020070000049788"
-2.4,11.1,"UA23080010000036379"
-0.8,5.1,"UA23100090000029171"
-3,2.3,"UA23100210000086911"
-0.5,2.6,"UA23100250000073490"
-1.5,3.8,"UA23100050000041545"
2.1,7.8,"UA23060050000065959"
-1.4,20.9,"UA23020130000081044"
-4.2,8.3,"UA23060090000082326"
1.2,10.9,"UA23060010000052992"
-2.1,0.8,"UA23100130000058758"
-0.7,6.6,"UA23020110000062653"
-2,2.1,"UA23060290000024046"
-3.2,16.4,"UA23040130000044084"
-13.4,4.7,"UA23100170000031289"
-1.5,5.9,"UA23040050000076136"
-3.5,12,"UA23020150000063371"
-14.5,4,"UA23100070000026535"
0.2,4.7,"UA23060230000071243"
