hromada_code,hromada_name,subject,mean_score,n_didnt_pass,n,pct_didnt_pass
UA05040070000093188,Джулинська,Ukr,136.9245283018868,12,65,0.18461538461538463
UA05040090000093950,Краснопільська,Eng,112,0,3,0
UA05040090000093950,Краснопільська,Hist,121.4,5,30,0.16666666666666666
UA05040090000093950,Краснопільська,Math,114.875,13,29,0.4482758620689655
UA05040090000093950,Краснопільська,UML,130.92,2,27,0.07407407407407407
UA05040090000093950,Краснопільська,Ukr,129.03571428571428,3,31,0.0967741935483871
UA05040130000025322,Ладижинська,Eng,145.91304347826087,3,26,0.11538461538461539
UA05040130000025322,Ладижинська,Hist,138.60416666666666,16,64,0.25
UA05040130000025322,Ладижинська,Math,143.34782608695653,24,93,0.25806451612903225
UA05040130000025322,Ладижинська,UML,145.99333333333334,2,77,0.025974025974025976
UA05040130000025322,Ладижинська,Ukr,149.55789473684212,7,102,0.06862745098039216
UA05040150000077146,Ободівська,Eng,143.21428571428572,0,14,0
UA05040150000077146,Ободівська,Hist,135.71428571428572,7,28,0.25
UA05040150000077146,Ободівська,Math,138.14705882352942,10,44,0.22727272727272727
UA05040150000077146,Ободівська,UML,155.7941176470588,2,36,0.05555555555555555
UA05040150000077146,Ободівська,Ukr,155.175,5,45,0.1111111111111111
UA05040170000093514,Ольгопільська,Eng,167,0,1,0
UA05040170000093514,Ольгопільська,Hist,124.8125,4,20,0.2
UA05040170000093514,Ольгопільська,Math,130.125,10,18,0.5555555555555556
UA05040170000093514,Ольгопільська,UML,141,3,22,0.13636363636363635
UA05040170000093514,Ольгопільська,Ukr,139.11111111111111,4,22,0.18181818181818182
UA05040190000039450,Райгородська,Eng,132.75,1,5,0.2
UA05040190000039450,Райгородська,Hist,137.25,1,13,0.07692307692307693
UA05040190000039450,Райгородська,Math,122.8,2,17,0.11764705882352941
UA05040190000039450,Райгородська,UML,135.76923076923077,0,13,0
UA05040190000039450,Райгородська,Ukr,138.05882352941177,0,17,0
UA05040210000068217,Соболівська,Eng,108.66666666666667,1,4,0.25
UA05040210000068217,Соболівська,Hist,137.9375,0,16,0
UA05040210000068217,Соболівська,Math,130.125,7,23,0.30434782608695654
UA05040210000068217,Соболівська,UML,141.16666666666666,0,18,0
UA05040210000068217,Соболівська,Ukr,143.5909090909091,0,22,0
UA05040230000017028,Теплицька,Eng,145,0,29,0
UA05040230000017028,Теплицька,Hist,134.5909090909091,14,80,0.175
UA05040230000017028,Теплицька,Math,137.8360655737705,27,88,0.3068181818181818
UA05040230000017028,Теплицька,UML,141.8815789473684,8,84,0.09523809523809523
UA05040230000017028,Теплицька,Ukr,140.88888888888889,8,98,0.08163265306122448
UA05040250000027965,Тростянецька,Eng,139.34615384615384,4,30,0.13333333333333333
UA05040250000027965,Тростянецька,Hist,139.96153846153845,7,59,0.11864406779661017
UA05040250000027965,Тростянецька,Math,136.37313432835822,20,87,0.22988505747126436
UA05040250000027965,Тростянецька,UML,149.85714285714286,4,74,0.05405405405405406
UA05040250000027965,Тростянецька,Ukr,149.66304347826087,4,96,0.041666666666666664
UA05040270000051651,Чечельницька,Eng,158,0,14,0
UA05040270000051651,Чечельницька,Hist,135.05882352941177,5,22,0.22727272727272727
UA05040270000051651,Чечельницька,Math,138.91304347826087,8,31,0.25806451612903225
UA05040270000051651,Чечельницька,UML,145.6875,1,33,0.030303030303030304
UA05040270000051651,Чечельницька,Ukr,151.83870967741936,3,34,0.08823529411764706
UA05060010000053179,Барська,Eng,138.78205128205127,10,88,0.11363636363636363
UA05060010000053179,Барська,Hist,139.16489361702128,5,99,0.050505050505050504
UA05060010000053179,Барська,Math,132.44444444444446,35,152,0.23026315789473684
UA05060010000053179,Барська,UML,149.31640625,3,131,0.022900763358778626
UA05060010000053179,Барська,Ukr,149.48809523809524,5,173,0.028901734104046242
UA05060030000026125,Джуринська,Eng,117.44444444444444,3,12,0.25
UA05060030000026125,Джуринська,Hist,127.47619047619048,20,62,0.3225806451612903
UA05060030000026125,Джуринська,Math,120.2,33,58,0.5689655172413793
UA05060030000026125,Джуринська,UML,129.69767441860466,11,54,0.2037037037037037
UA05060030000026125,Джуринська,Ukr,129.38888888888889,10,64,0.15625
UA05060050000058111,Жмеринська,Eng,141.53658536585365,6,88,0.06818181818181818
UA05060050000058111,Жмеринська,Hist,140.38513513513513,18,166,0.10843373493975904
UA05060050000058111,Жмеринська,Math,134.56204379562044,45,182,0.24725274725274726
UA05060050000058111,Жмеринська,UML,145.827868852459,4,187,0.0213903743315508
UA05060050000058111,Жмеринська,Ukr,145.4695652173913,5,235,0.02127659574468085
UA05060070000012952,Копайгородська,Eng,127,0,1,0
UA05060070000012952,Копайгородська,Hist,156.25,1,5,0.2
UA05060070000012952,Копайгородська,Math,132,6,11,0.5454545454545454
UA05060070000012952,Копайгородська,UML,154.1818181818182,0,11,0
UA05060070000012952,Копайгородська,Ukr,149.69230769230768,2,15,0.13333333333333333
UA05060090000058521,Мурафська,Eng,133.11111111111111,6,15,0.4
UA05060090000058521,Мурафська,Hist,126.72,9,59,0.15254237288135594
UA05060090000058521,Мурафська,Math,124.725,23,63,0.36507936507936506
UA05060090000058521,Мурафська,UML,134.35185185185185,5,59,0.0847457627118644
UA05060090000058521,Мурафська,Ukr,133.3125,6,70,0.08571428571428572
UA05060110000027268,Северинівська,Eng,164,0,5,0
UA05060110000027268,Северинівська,Hist,158,0,17,0
UA05060110000027268,Северинівська,Math,151.4375,5,21,0.23809523809523808
UA05060110000027268,Северинівська,UML,161.02777777777777,0,18,0
UA05060110000027268,Северинівська,Ukr,152.9047619047619,0,21,0
UA05060130000030729,Станіславчицька,Eng,125,1,5,0.2
UA05060130000030729,Станіславчицька,Hist,136.2,1,16,0.0625
UA05060130000030729,Станіславчицька,Math,133.46666666666667,6,21,0.2857142857142857
UA05060130000030729,Станіславчицька,UML,148.2,0,15,0
UA05060130000030729,Станіславчицька,Ukr,136.14285714285714,2,23,0.08695652173913043
UA05060150000094411,Шаргородська,Eng,131.94736842105263,8,46,0.17391304347826086
UA05060150000094411,Шаргородська,Hist,132.72549019607843,23,125,0.184
UA05060150000094411,Шаргородська,Math,129.76470588235293,48,150,0.32
UA05060150000094411,Шаргородська,UML,137.6214953271028,18,125,0.144
UA05060150000094411,Шаргородська,Ukr,137.64583333333334,17,161,0.10559006211180125
UA05080010000038400,Бабчинецька,Eng,128.25,1,5,0.2
UA05080010000038400,Бабчинецька,Hist,137.36363636363637,2,13,0.15384615384615385
UA05080010000038400,Бабчинецька,Math,130.4,4,14,0.2857142857142857
UA05080010000038400,Бабчинецька,UML,141.84615384615384,0,13,0
UA05080010000038400,Бабчинецька,Ukr,142.47058823529412,1,18,0.05555555555555555
UA05080030000089348,Вендичанська,Eng,108.57142857142857,5,12,0.4166666666666667
UA05080030000089348,Вендичанська,Hist,122.43478260869566,8,31,0.25806451612903225
UA05080030000089348,Вендичанська,Math,128.36363636363637,16,27,0.5925925925925926
UA05080030000089348,Вендичанська,UML,126.73913043478261,7,30,0.23333333333333334
UA05080030000089348,Вендичанська,Ukr,127.88461538461539,8,34,0.23529411764705882
UA05080050000023603,Могилів-Подільська,Eng,151.32857142857142,5,75,0.06666666666666667
UA05080050000023603,Могилів-Подільська,Hist,143.99115044247787,17,130,0.13076923076923078
UA05080050000023603,Могилів-Подільська,Math,145.67567567567568,35,146,0.23972602739726026
UA05080050000023603,Могилів-Подільська,UML,154.96503496503496,6,149,0.040268456375838924
UA05080050000023603,Могилів-Подільська,Ukr,153.33529411764707,5,175,0.02857142857142857
UA05080070000010150,Мурованокуриловецька,Eng,137.63636363636363,3,25,0.12
UA05080070000010150,Мурованокуриловецька,Hist,138.05737704918033,9,70,0.12857142857142856
UA05080070000010150,Мурованокуриловецька,Math,128.83333333333334,27,75,0.36
UA05080070000010150,Мурованокуриловецька,UML,147.75,6,74,0.08108108108108109
UA05080070000010150,Мурованокуриловецька,Ukr,144.6172839506173,6,87,0.06896551724137931
UA05080090000089922,Чернівецька,Eng,125.24,7,32,0.21875
UA05080090000089922,Чернівецька,Hist,134.56666666666666,12,57,0.21052631578947367
UA05080090000089922,Чернівецька,Math,133.23684210526315,21,59,0.3559322033898305
UA05080090000089922,Чернівецька,UML,142.28125,3,67,0.04477611940298507
UA05080090000089922,Чернівецька,Ukr,144.4264705882353,3,71,0.04225352112676056
UA05080110000056824,Ямпільська,Eng,139.66666666666666,10,43,0.23255813953488372
UA05080110000056824,Ямпільська,Hist,128.49056603773585,34,140,0.24285714285714285
UA05080110000056824,Ямпільська,Math,131.49333333333334,84,159,0.5283018867924528
UA05080110000056824,Ямпільська,UML,140.71268656716418,16,150,0.10666666666666667
UA05080110000056824,Ямпільська,Ukr,138.22292993630575,18,175,0.10285714285714286
UA05080130000024964,Яришівська,Eng,138.1,1,11,0.09090909090909091
UA05080130000024964,Яришівська,Hist,142.25,1,15,0.06666666666666667
UA05080130000024964,Яришівська,Math,138.75,3,15,0.2
UA05080130000024964,Яришівська,UML,157,1,16,0.0625
UA05080130000024964,Яришівська,Ukr,162.66666666666666,2,17,0.11764705882352941
UA05100010000023453,Брацлавська,Eng,158.5,0,10,0
UA05100010000023453,Брацлавська,Hist,136.2,1,21,0.047619047619047616
UA05100010000023453,Брацлавська,Math,137.13333333333333,3,18,0.16666666666666666
UA05100010000023453,Брацлавська,UML,146.16666666666666,0,24,0
UA05100010000023453,Брацлавська,Ukr,147.85714285714286,0,28,0
UA05100030000051497,Вапнярська,Eng,129.07692307692307,0,13,0
UA05100030000051497,Вапнярська,Hist,131.7111111111111,9,54,0.16666666666666666
UA05100030000051497,Вапнярська,Math,132.51612903225808,23,54,0.42592592592592593
UA05100030000051497,Вапнярська,UML,136.53846153846155,5,44,0.11363636363636363
UA05100030000051497,Вапнярська,Ukr,139.3846153846154,7,59,0.11864406779661017
UA05100050000038768,Городківська,Eng,131.2,3,13,0.23076923076923078
UA05100050000038768,Городківська,Hist,145.63333333333333,11,71,0.15492957746478872
UA05100050000038768,Городківська,Math,127.27083333333333,25,73,0.3424657534246575
UA05100050000038768,Городківська,UML,144.53225806451613,2,64,0.03125
UA05100050000038768,Городківська,Ukr,143.7391304347826,8,77,0.1038961038961039
UA05100070000035159,Крижопільська,Eng,140.45454545454547,4,48,0.08333333333333333
UA05100070000035159,Крижопільська,Hist,142.9857142857143,13,83,0.1566265060240964
UA05100070000035159,Крижопільська,Math,134.0493827160494,26,107,0.24299065420560748
UA05100070000035159,Крижопільська,UML,150.77777777777777,4,103,0.038834951456310676
UA05100070000035159,Крижопільська,Ukr,149.23893805309734,5,118,0.0423728813559322
UA05100090000029847,Піщанська,Eng,124.4375,6,22,0.2727272727272727
UA05100090000029847,Піщанська,Hist,129.03846153846155,13,65,0.2
UA05100090000029847,Піщанська,Math,127.45714285714286,29,64,0.453125
UA05100090000029847,Піщанська,UML,131.69827586206895,4,62,0.06451612903225806
UA05100090000029847,Піщанська,Ukr,130.55223880597015,8,75,0.10666666666666667
UA05100110000070795,Студенянська,Eng,119,1,6,0.16666666666666666
UA05100110000070795,Студенянська,Hist,137.1304347826087,2,25,0.08
UA05100110000070795,Студенянська,Math,124.4375,9,25,0.36
UA05100110000070795,Студенянська,UML,138.45833333333334,0,24,0
UA05100110000070795,Студенянська,Ukr,136.79166666666666,1,25,0.04
UA05100130000061386,Томашпільська,Eng,135.71428571428572,8,29,0.27586206896551724
UA05100130000061386,Томашпільська,Hist,135.5974025974026,15,92,0.16304347826086957
UA05100130000061386,Томашпільська,Math,130.89795918367346,42,91,0.46153846153846156
UA05100130000061386,Томашпільська,UML,143.51190476190476,6,90,0.06666666666666667
UA05100130000061386,Томашпільська,Ukr,143.7872340425532,9,103,0.08737864077669903
UA05100150000050790,Тульчинська,Eng,140.92753623188406,20,89,0.2247191011235955
UA05100150000050790,Тульчинська,Hist,135.3248730964467,32,229,0.13973799126637554
UA05100150000050790,Тульчинська,Math,139.78481012658227,112,270,0.4148148148148148
UA05100150000050790,Тульчинська,UML,142.01288659793815,26,220,0.11818181818181818
UA05100150000050790,Тульчинська,Ukr,143.2846153846154,25,285,0.08771929824561403
UA05100170000071290,Шпиківська,Eng,142.5,1,11,0.09090909090909091
UA05100170000071290,Шпиківська,Hist,128.79166666666666,7,55,0.12727272727272726
UA05100170000071290,Шпиківська,Math,127.37142857142857,25,60,0.4166666666666667
UA05100170000071290,Шпиківська,UML,137.51020408163265,8,57,0.14035087719298245
UA05100170000071290,Шпиківська,Ukr,136.71428571428572,7,63,0.1111111111111111
UA05120010000076685,Глуховецька,Eng,131.35714285714286,0,14,0
UA05120010000076685,Глуховецька,Hist,134.70731707317074,7,48,0.14583333333333334
UA05120010000076685,Глуховецька,Math,133.42307692307693,20,46,0.43478260869565216
UA05120010000076685,Глуховецька,UML,134.62790697674419,7,50,0.14
UA05120010000076685,Глуховецька,Ukr,136.56,9,59,0.15254237288135594
UA05120030000061384,Жданівська,Eng,125.33333333333333,0,3,0
UA05120030000061384,Жданівська,Hist,134.14285714285714,4,18,0.2222222222222222
UA05120030000061384,Жданівська,Math,138.1,9,19,0.47368421052631576
UA05120030000061384,Жданівська,UML,139.23076923076923,4,17,0.23529411764705882
UA05120030000061384,Жданівська,Ukr,138.13333333333333,4,19,0.21052631578947367
UA05120050000063063,Іванівська,Eng,143.15384615384616,1,14,0.07142857142857142
UA05120050000063063,Іванівська,Hist,137.55172413793105,6,64,0.09375
UA05120050000063063,Іванівська,Math,140.06,19,69,0.2753623188405797
UA05120050000063063,Іванівська,UML,144.53389830508473,7,66,0.10606060606060606
UA05120050000063063,Іванівська,Ukr,142.66666666666666,5,74,0.06756756756756757
UA05120070000075759,Калинівська,Eng,143.9390243902439,8,90,0.08888888888888889
UA05120070000075759,Калинівська,Hist,140.77225130890054,31,222,0.13963963963963963
UA05120070000075759,Калинівська,Math,133.16326530612244,70,266,0.2631578947368421
UA05120070000075759,Калинівська,UML,151.9375,16,240,0.06666666666666667
UA05120070000075759,Калинівська,Ukr,149.34362934362935,24,283,0.08480565371024736
UA05120090000060589,Козятинська,Eng,143.80357142857142,12,124,0.0967741935483871
UA05120090000060589,Козятинська,Hist,142.09259259259258,24,159,0.1509433962264151
UA05120090000060589,Козятинська,Math,143.84848484848484,35,200,0.175
UA05120090000060589,Козятинська,UML,149.6310975609756,11,175,0.06285714285714286
UA05120090000060589,Козятинська,Ukr,150.6315789473684,12,240,0.05
UA05120110000018679,Махнівська,Eng,153.4,1,6,0.16666666666666666
UA05120110000018679,Махнівська,Hist,132.4090909090909,8,30,0.26666666666666666
UA05120110000018679,Махнівська,Math,132.23529411764707,8,25,0.32
UA05120110000018679,Махнівська,UML,138.6818181818182,8,30,0.26666666666666666
UA05120110000018679,Махнівська,Ukr,137.33333333333334,10,34,0.29411764705882354
UA05120130000014261,Самгородоцька,Eng,128.6,4,14,0.2857142857142857
UA05120130000014261,Самгородоцька,Hist,139.06666666666666,1,31,0.03225806451612903
UA05120130000014261,Самгородоцька,Math,125.31818181818181,11,33,0.3333333333333333
UA05120130000014261,Самгородоцька,UML,137.70967741935485,0,31,0
UA05120130000014261,Самгородоцька,Ukr,136.88888888888889,1,37,0.02702702702702703
UA05120150000069474,Уланівська,Eng,147.75,1,5,0.2
UA05120150000069474,Уланівська,Hist,134.7948717948718,7,46,0.15217391304347827
UA05120150000069474,Уланівська,Math,122.91666666666667,22,46,0.4782608695652174
UA05120150000069474,Уланівська,UML,134.38888888888889,5,41,0.12195121951219512
UA05120150000069474,Уланівська,Ukr,131.82978723404256,5,52,0.09615384615384616
UA05120170000013778,Хмільницька,Eng,145.78,4,104,0.038461538461538464
UA05120170000013778,Хмільницька,Hist,146.4404761904762,18,186,0.0967741935483871
UA05120170000013778,Хмільницька,Math,143.225,39,199,0.19597989949748743
UA05120170000013778,Хмільницька,UML,154.89820359281438,6,173,0.03468208092485549
UA05120170000013778,Хмільницька,Ukr,153.70666666666668,12,237,0.05063291139240506
UA07020010000096841,Володимир-Волинська,Eng,153.06363636363636,4,114,0.03508771929824561
UA07020010000096841,Володимир-Волинська,Hist,147.16101694915255,12,130,0.09230769230769231
UA07020010000096841,Володимир-Волинська,Math,144.38509316770185,16,177,0.0903954802259887
UA07020010000096841,Володимир-Волинська,UML,161.1472222222222,2,182,0.01098901098901099
UA07020010000096841,Володимир-Волинська,Ukr,160.39484978540773,1,234,0.004273504273504274
UA07020030000052032,Затурцівська,Eng,126.72727272727273,2,13,0.15384615384615385
UA07020030000052032,Затурцівська,Hist,134.78571428571428,7,35,0.2
UA07020030000052032,Затурцівська,Math,126.05555555555556,12,30,0.4
UA07020030000052032,Затурцівська,UML,136.925,1,41,0.024390243902439025
UA07020030000052032,Затурцівська,Ukr,135.3181818181818,3,47,0.06382978723404255
UA07020050000082369,Зимнівська,Eng,147,0,5,0
UA07020050000082369,Зимнівська,Hist,136.55,2,22,0.09090909090909091
UA07020050000082369,Зимнівська,Math,136.3,5,15,0.3333333333333333
UA07020050000082369,Зимнівська,UML,140.3684210526316,1,20,0.05
UA07020050000082369,Зимнівська,Ukr,140.56,1,26,0.038461538461538464
UA07020070000082628,Іваничівська,Eng,129.46666666666667,5,20,0.25
UA07020070000082628,Іваничівська,Hist,131.3,15,45,0.3333333333333333
UA07020070000082628,Іваничівська,Math,129.875,16,48,0.3333333333333333
UA07020070000082628,Іваничівська,UML,134.7625,8,48,0.16666666666666666
UA07020070000082628,Іваничівська,Ukr,139.6326530612245,10,59,0.1694915254237288
UA07020090000019505,Литовезька,Eng,146.25,1,5,0.2
UA07020090000019505,Литовезька,Hist,144,0,7,0
UA07020090000019505,Литовезька,Math,149,2,10,0.2
UA07020090000019505,Литовезька,UML,172.75,1,5,0.2
UA07020090000019505,Литовезька,Ukr,145.77777777777777,1,10,0.1
UA07020110000037373,Локачинська,Eng,153.88888888888889,0,9,0
UA07020110000037373,Локачинська,Hist,145.29032258064515,4,35,0.11428571428571428
UA07020110000037373,Локачинська,Math,138.21621621621622,18,55,0.32727272727272727
UA07020110000037373,Локачинська,UML,147.63636363636363,1,34,0.029411764705882353
UA07020110000037373,Локачинська,Ukr,143.57894736842104,3,60,0.05
UA07020130000036300,Нововолинська,Eng,150.11377245508982,10,177,0.05649717514124294
UA07020130000036300,Нововолинська,Hist,142.06896551724137,25,199,0.12562814070351758
UA07020130000036300,Нововолинська,Math,146.1228813559322,58,294,0.19727891156462585
UA07020130000036300,Нововолинська,UML,156.22529644268775,11,264,0.041666666666666664
UA07020130000036300,Нововолинська,Ukr,155.5,11,373,0.029490616621983913
UA07020150000092012,Оваднівська,Eng,169,0,1,0
UA07020150000092012,Оваднівська,Hist,160.25,1,5,0.2
UA07020150000092012,Оваднівська,Math,152,1,6,0.16666666666666666
UA07020150000092012,Оваднівська,UML,148.33333333333334,0,6,0
UA07020150000092012,Оваднівська,Ukr,151.83333333333334,0,6,0
UA07020170000049971,Павлівська,Eng,135.6,4,9,0.4444444444444444
UA07020170000049971,Павлівська,Hist,131.57142857142858,5,26,0.19230769230769232
UA07020170000049971,Павлівська,Math,140.23529411764707,12,29,0.41379310344827586
UA07020170000049971,Павлівська,UML,144.78571428571428,1,29,0.034482758620689655
UA07020170000049971,Павлівська,Ukr,143.16666666666666,1,31,0.03225806451612903
UA07020190000043658,Поромівська,Eng,138.5,0,2,0
UA07020190000043658,Поромівська,Hist,143.7391304347826,1,24,0.041666666666666664
UA07020190000043658,Поромівська,Math,123.84615384615384,8,21,0.38095238095238093
UA07020190000043658,Поромівська,UML,133.8448275862069,1,30,0.03333333333333333
UA07020190000043658,Поромівська,Ukr,131.82758620689654,1,30,0.03333333333333333
UA07020210000033081,Устилузька,Eng,160.66666666666666,0,3,0
UA07020210000033081,Устилузька,Hist,145.4,4,24,0.16666666666666666
UA07020210000033081,Устилузька,Math,133.07692307692307,10,23,0.43478260869565216
UA07020210000033081,Устилузька,UML,146.38888888888889,6,24,0.25
