register_number,start,end,active_2402,hromada_code.x,hromada_name.x,hromada_code.y,hromada_name.y
122,2018-01-01,2023-04-10,1,UA23060290000024046,Таврійська,UA23060090000082326,Комишуваська
133,2018-01-01,2023-12-31,1,UA53060090000098426,Гадяцька,UA53060250000043118,Петрівсько-Роменська
133,2018-01-01,2023-12-31,1,UA53060090000098426,Гадяцька,UA53060310000047988,Сергіївська
133,2018-01-01,2023-12-31,1,UA53060090000098426,Гадяцька,UA53060050000024229,Великобудищанська
133,2018-01-01,2023-12-31,1,UA53060090000098426,Гадяцька,UA53060170000064030,Краснолуцька
133,2018-01-01,2023-12-31,1,UA53060090000098426,Гадяцька,UA53060210000044776,Лютенська
133,2018-01-01,2023-12-31,1,UA53060250000043118,Петрівсько-Роменська,UA53060090000098426,Гадяцька
133,2018-01-01,2023-12-31,1,UA53060250000043118,Петрівсько-Роменська,UA53060310000047988,Сергіївська
133,2018-01-01,2023-12-31,1,UA53060250000043118,Петрівсько-Роменська,UA53060050000024229,Великобудищанська
133,2018-01-01,2023-12-31,1,UA53060250000043118,Петрівсько-Роменська,UA53060170000064030,Краснолуцька
133,2018-01-01,2023-12-31,1,UA53060250000043118,Петрівсько-Роменська,UA53060210000044776,Лютенська
133,2018-01-01,2023-12-31,1,UA53060310000047988,Сергіївська,UA53060090000098426,Гадяцька
133,2018-01-01,2023-12-31,1,UA53060310000047988,Сергіївська,UA53060250000043118,Петрівсько-Роменська
133,2018-01-01,2023-12-31,1,UA53060310000047988,Сергіївська,UA53060050000024229,Великобудищанська
133,2018-01-01,2023-12-31,1,UA53060310000047988,Сергіївська,UA53060170000064030,Краснолуцька
133,2018-01-01,2023-12-31,1,UA53060310000047988,Сергіївська,UA53060210000044776,Лютенська
133,2018-01-01,2023-12-31,1,UA53060050000024229,Великобудищанська,UA53060090000098426,Гадяцька
133,2018-01-01,2023-12-31,1,UA53060050000024229,Великобудищанська,UA53060250000043118,Петрівсько-Роменська
133,2018-01-01,2023-12-31,1,UA53060050000024229,Великобудищанська,UA53060310000047988,Сергіївська
133,2018-01-01,2023-12-31,1,UA53060050000024229,Великобудищанська,UA53060170000064030,Краснолуцька
133,2018-01-01,2023-12-31,1,UA53060050000024229,Великобудищанська,UA53060210000044776,Лютенська
133,2018-01-01,2023-12-31,1,UA53060170000064030,Краснолуцька,UA53060090000098426,Гадяцька
133,2018-01-01,2023-12-31,1,UA53060170000064030,Краснолуцька,UA53060250000043118,Петрівсько-Роменська
133,2018-01-01,2023-12-31,1,UA53060170000064030,Краснолуцька,UA53060310000047988,Сергіївська
133,2018-01-01,2023-12-31,1,UA53060170000064030,Краснолуцька,UA53060050000024229,Великобудищанська
133,2018-01-01,2023-12-31,1,UA53060170000064030,Краснолуцька,UA53060210000044776,Лютенська
133,2018-01-01,2023-12-31,1,UA53060210000044776,Лютенська,UA53060090000098426,Гадяцька
133,2018-01-01,2023-12-31,1,UA53060210000044776,Лютенська,UA53060250000043118,Петрівсько-Роменська
133,2018-01-01,2023-12-31,1,UA53060210000044776,Лютенська,UA53060310000047988,Сергіївська
133,2018-01-01,2023-12-31,1,UA53060210000044776,Лютенська,UA53060050000024229,Великобудищанська
133,2018-01-01,2023-12-31,1,UA53060210000044776,Лютенська,UA53060170000064030,Краснолуцька
137,2018-01-25,2023-04-10,1,UA12020150000050274,Новопокровська,UA12020250000010438,Слобожанська
140,2018-02-22,2023-04-10,1,UA05020270000044358,Тиврівська,UA05100170000071290,Шпиківська
140,2018-02-22,2023-04-10,1,UA05100170000071290,Шпиківська,UA05020270000044358,Тиврівська
186,2018-01-01,2023-01-01,1,UA63100090000052019,Первомайська,UA63100010000016136,Біляївська
186,2018-01-01,2023-01-01,1,UA63100090000052019,Первомайська,UA63100070000048302,Олексіївська
186,2018-01-01,2023-01-01,1,UA63100010000016136,Біляївська,UA63100090000052019,Первомайська
186,2018-01-01,2023-01-01,1,UA63100010000016136,Біляївська,UA63100070000048302,Олексіївська
186,2018-01-01,2023-01-01,1,UA63100070000048302,Олексіївська,UA63100090000052019,Первомайська
186,2018-01-01,2023-01-01,1,UA63100070000048302,Олексіївська,UA63100010000016136,Біляївська
190,2019-01-01,2024-01-01,1,UA53080130000014699,Кобеляцька,UA53020210000023587,Пришибська
190,2019-01-01,2024-01-01,1,UA53080130000014699,Кобеляцька,UA53020030000081709,Горішньоплавнівська
190,2019-01-01,2024-01-01,1,UA53020210000023587,Пришибська,UA53080130000014699,Кобеляцька
190,2019-01-01,2024-01-01,1,UA53020210000023587,Пришибська,UA53020030000081709,Горішньоплавнівська
191,2018-08-01,2023-04-10,1,UA53080130000014699,Кобеляцька,UA53020210000023587,Пришибська
191,2018-08-01,2023-04-10,1,UA53080130000014699,Кобеляцька,UA53020030000081709,Горішньоплавнівська
191,2018-08-01,2023-04-10,1,UA53020210000023587,Пришибська,UA53080130000014699,Кобеляцька
191,2018-08-01,2023-04-10,1,UA53020210000023587,Пришибська,UA53020030000081709,Горішньоплавнівська
200,2018-06-26,2023-04-10,1,UA56040010000048910,Бокіймівська,UA56040210000047101,Острожецька
200,2018-06-26,2023-04-10,1,UA56040010000048910,Бокіймівська,UA56040190000045841,Млинівська
200,2018-06-26,2023-04-10,1,UA56040010000048910,Бокіймівська,UA56040370000063056,Ярославицька
200,2018-06-26,2023-04-10,1,UA56040210000047101,Острожецька,UA56040010000048910,Бокіймівська
200,2018-06-26,2023-04-10,1,UA56040210000047101,Острожецька,UA56040190000045841,Млинівська
200,2018-06-26,2023-04-10,1,UA56040210000047101,Острожецька,UA56040370000063056,Ярославицька
200,2018-06-26,2023-04-10,1,UA56040190000045841,Млинівська,UA56040010000048910,Бокіймівська
200,2018-06-26,2023-04-10,1,UA56040190000045841,Млинівська,UA56040210000047101,Острожецька
200,2018-06-26,2023-04-10,1,UA56040190000045841,Млинівська,UA56040370000063056,Ярославицька
200,2018-06-26,2023-04-10,1,UA56040370000063056,Ярославицька,UA56040010000048910,Бокіймівська
200,2018-06-26,2023-04-10,1,UA56040370000063056,Ярославицька,UA56040210000047101,Острожецька
200,2018-06-26,2023-04-10,1,UA56040370000063056,Ярославицька,UA56040190000045841,Млинівська
201,2018-07-10,2023-04-10,1,UA53060210000044776,Лютенська,UA53060250000043118,Петрівсько-Роменська
201,2018-07-10,2023-04-10,1,UA53060210000044776,Лютенська,UA53060050000024229,Великобудищанська
201,2018-07-10,2023-04-10,1,UA53060210000044776,Лютенська,UA53060170000064030,Краснолуцька
201,2018-07-10,2023-04-10,1,UA53060210000044776,Лютенська,UA53060090000098426,Гадяцька
201,2018-07-10,2023-04-10,1,UA53060250000043118,Петрівсько-Роменська,UA53060210000044776,Лютенська
201,2018-07-10,2023-04-10,1,UA53060250000043118,Петрівсько-Роменська,UA53060050000024229,Великобудищанська
201,2018-07-10,2023-04-10,1,UA53060250000043118,Петрівсько-Роменська,UA53060170000064030,Краснолуцька
201,2018-07-10,2023-04-10,1,UA53060250000043118,Петрівсько-Роменська,UA53060090000098426,Гадяцька
201,2018-07-10,2023-04-10,1,UA53060050000024229,Великобудищанська,UA53060210000044776,Лютенська
201,2018-07-10,2023-04-10,1,UA53060050000024229,Великобудищанська,UA53060250000043118,Петрівсько-Роменська
201,2018-07-10,2023-04-10,1,UA53060050000024229,Великобудищанська,UA53060170000064030,Краснолуцька
201,2018-07-10,2023-04-10,1,UA53060050000024229,Великобудищанська,UA53060090000098426,Гадяцька
201,2018-07-10,2023-04-10,1,UA53060170000064030,Краснолуцька,UA53060210000044776,Лютенська
201,2018-07-10,2023-04-10,1,UA53060170000064030,Краснолуцька,UA53060250000043118,Петрівсько-Роменська
201,2018-07-10,2023-04-10,1,UA53060170000064030,Краснолуцька,UA53060050000024229,Великобудищанська
201,2018-07-10,2023-04-10,1,UA53060170000064030,Краснолуцька,UA53060090000098426,Гадяцька
201,2018-07-10,2023-04-10,1,UA53060090000098426,Гадяцька,UA53060210000044776,Лютенська
201,2018-07-10,2023-04-10,1,UA53060090000098426,Гадяцька,UA53060250000043118,Петрівсько-Роменська
201,2018-07-10,2023-04-10,1,UA53060090000098426,Гадяцька,UA53060050000024229,Великобудищанська
201,2018-07-10,2023-04-10,1,UA53060090000098426,Гадяцька,UA53060170000064030,Краснолуцька
202,2018-07-23,2023-04-10,1,UA53060250000043118,Петрівсько-Роменська,UA53060310000047988,Сергіївська
202,2018-07-23,2023-04-10,1,UA53060310000047988,Сергіївська,UA53060250000043118,Петрівсько-Роменська
203,2018-07-19,2023-04-10,1,UA53080310000072384,Новосанжарська,UA53080290000024637,Нехворощанська
203,2018-07-19,2023-04-10,1,UA53080310000072384,Новосанжарська,UA53080070000036333,Драбинівська
203,2018-07-19,2023-04-10,1,UA53080290000024637,Нехворощанська,UA53080310000072384,Новосанжарська
203,2018-07-19,2023-04-10,1,UA53080290000024637,Нехворощанська,UA53080070000036333,Драбинівська
203,2018-07-19,2023-04-10,1,UA53080070000036333,Драбинівська,UA53080310000072384,Новосанжарська
203,2018-07-19,2023-04-10,1,UA53080070000036333,Драбинівська,UA53080290000024637,Нехворощанська
204,2018-07-19,2023-04-10,1,UA53080290000024637,Нехворощанська,UA53080310000072384,Новосанжарська
204,2018-07-19,2023-04-10,1,UA53080290000024637,Нехворощанська,UA53080070000036333,Драбинівська
204,2018-07-19,2023-04-10,1,UA53080310000072384,Новосанжарська,UA53080290000024637,Нехворощанська
204,2018-07-19,2023-04-10,1,UA53080310000072384,Новосанжарська,UA53080070000036333,Драбинівська
204,2018-07-19,2023-04-10,1,UA53080070000036333,Драбинівська,UA53080290000024637,Нехворощанська
204,2018-07-19,2023-04-10,1,UA53080070000036333,Драбинівська,UA53080310000072384,Новосанжарська
205,2018-07-24,2023-04-10,1,UA53060190000015369,Лохвицька,UA53060130000040567,Заводська
205,2018-07-24,2023-04-10,1,UA53060130000040567,Заводська,UA53060190000015369,Лохвицька
215,2019-01-01,2023-04-10,1,UA71020210000030936,Матусівська,UA71020330000027449,Шполянська
216,2018-06-06,2023-04-10,1,UA53080330000062155,Новоселівська,UA53080370000025447,Полтавська
216,2018-06-06,2023-04-10,1,UA53080370000025447,Полтавська,UA53080330000062155,Новоселівська
222,2018-08-27,2023-04-10,1,UA53060190000015369,Лохвицька,UA53060130000040567,Заводська
222,2018-08-27,2023-04-10,1,UA53060130000040567,Заводська,UA53060190000015369,Лохвицька
232,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080130000024964,Яришівська
232,2018-09-01,2023-09-01,1,UA05080130000024964,Яришівська,UA05080050000023603,Могилів-Подільська
233,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080130000024964,Яришівська
233,2018-09-01,2023-09-01,1,UA05080130000024964,Яришівська,UA05080050000023603,Могилів-Подільська
234,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080130000024964,Яришівська
234,2018-09-01,2023-09-01,1,UA05080130000024964,Яришівська,UA05080050000023603,Могилів-Подільська
235,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080030000089348,Вендичанська
235,2018-09-01,2023-09-01,1,UA05080030000089348,Вендичанська,UA05080050000023603,Могилів-Подільська
236,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080030000089348,Вендичанська
236,2018-09-01,2023-09-01,1,UA05080030000089348,Вендичанська,UA05080050000023603,Могилів-Подільська
238,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080130000024964,Яришівська
239,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080030000089348,Вендичанська
239,2018-09-01,2023-09-01,1,UA05080030000089348,Вендичанська,UA05080050000023603,Могилів-Подільська
242,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080030000089348,Вендичанська
242,2018-09-01,2023-09-01,1,UA05080030000089348,Вендичанська,UA05080050000023603,Могилів-Подільська
246,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080010000038400,Бабчинецька
246,2018-09-01,2023-09-01,1,UA05080010000038400,Бабчинецька,UA05080050000023603,Могилів-Подільська
247,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080030000089348,Вендичанська
247,2018-09-01,2023-09-01,1,UA05080030000089348,Вендичанська,UA05080050000023603,Могилів-Подільська
248,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080030000089348,Вендичанська
248,2018-09-01,2023-09-01,1,UA05080030000089348,Вендичанська,UA05080050000023603,Могилів-Подільська
249,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080130000024964,Яришівська
249,2018-09-01,2023-09-01,1,UA05080130000024964,Яришівська,UA05080050000023603,Могилів-Подільська
250,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080030000089348,Вендичанська
251,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080130000024964,Яришівська
253,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080130000024964,Яришівська
253,2018-09-01,2023-09-01,1,UA05080130000024964,Яришівська,UA05080050000023603,Могилів-Подільська
256,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080130000024964,Яришівська
256,2018-09-01,2023-09-01,1,UA05080130000024964,Яришівська,UA05080050000023603,Могилів-Подільська
257,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080010000038400,Бабчинецька
258,2018-09-01,2023-09-01,1,UA05080050000023603,Могилів-Подільська,UA05080030000089348,Вендичанська
259,2018-09-24,2023-04-10,1,UA05020270000044358,Тиврівська,UA05100170000071290,Шпиківська
259,2018-09-24,2023-04-10,1,UA05100170000071290,Шпиківська,UA05020270000044358,Тиврівська
263,2018-09-14,2023-04-10,1,UA56040010000048910,Бокіймівська,UA56040210000047101,Острожецька
263,2018-09-14,2023-04-10,1,UA56040010000048910,Бокіймівська,UA56040230000032182,Підлозцівська
263,2018-09-14,2023-04-10,1,UA56040010000048910,Бокіймівська,UA56040370000063056,Ярославицька
263,2018-09-14,2023-04-10,1,UA56040010000048910,Бокіймівська,UA56040190000045841,Млинівська
263,2018-09-14,2023-04-10,1,UA56040210000047101,Острожецька,UA56040010000048910,Бокіймівська
263,2018-09-14,2023-04-10,1,UA56040210000047101,Острожецька,UA56040230000032182,Підлозцівська
263,2018-09-14,2023-04-10,1,UA56040210000047101,Острожецька,UA56040370000063056,Ярославицька
263,2018-09-14,2023-04-10,1,UA56040210000047101,Острожецька,UA56040190000045841,Млинівська
263,2018-09-14,2023-04-10,1,UA56040230000032182,Підлозцівська,UA56040010000048910,Бокіймівська
263,2018-09-14,2023-04-10,1,UA56040230000032182,Підлозцівська,UA56040210000047101,Острожецька
263,2018-09-14,2023-04-10,1,UA56040230000032182,Підлозцівська,UA56040370000063056,Ярославицька
263,2018-09-14,2023-04-10,1,UA56040230000032182,Підлозцівська,UA56040190000045841,Млинівська
263,2018-09-14,2023-04-10,1,UA56040370000063056,Ярославицька,UA56040010000048910,Бокіймівська
263,2018-09-14,2023-04-10,1,UA56040370000063056,Ярославицька,UA56040210000047101,Острожецька
263,2018-09-14,2023-04-10,1,UA56040370000063056,Ярославицька,UA56040230000032182,Підлозцівська
263,2018-09-14,2023-04-10,1,UA56040370000063056,Ярославицька,UA56040190000045841,Млинівська
264,2018-10-08,2023-04-10,1,UA23080070000068953,Мелітопольська,UA23080250000043914,Семенівська
264,2018-10-08,2023-04-10,1,UA23080070000068953,Мелітопольська,UA23080110000020314,Новенська
264,2018-10-08,2023-04-10,1,UA23080250000043914,Семенівська,UA23080070000068953,Мелітопольська
264,2018-10-08,2023-04-10,1,UA23080250000043914,Семенівська,UA23080110000020314,Новенська
265,2018-10-16,2023-04-10,1,UA56040170000050651,Мирогощанська,UA56040270000014394,Привільненська
265,2018-10-16,2023-04-10,1,UA56040170000050651,Мирогощанська,UA56040350000014945,Тараканівська
265,2018-10-16,2023-04-10,1,UA56040270000014394,Привільненська,UA56040170000050651,Мирогощанська
265,2018-10-16,2023-04-10,1,UA56040270000014394,Привільненська,UA56040350000014945,Тараканівська
265,2018-10-16,2023-04-10,1,UA56040350000014945,Тараканівська,UA56040170000050651,Мирогощанська
265,2018-10-16,2023-04-10,1,UA56040350000014945,Тараканівська,UA56040270000014394,Привільненська
266,2018-10-18,2023-04-10,1,UA59040150000076482,Чернеччинська,UA59040050000033127,Грунська
266,2018-10-18,2023-04-10,1,UA59040150000076482,Чернеччинська,UA59040090000041737,Комишанська
266,2018-10-18,2023-04-10,1,UA59040050000033127,Грунська,UA59040150000076482,Чернеччинська
266,2018-10-18,2023-04-10,1,UA59040050000033127,Грунська,UA59040090000041737,Комишанська
266,2018-10-18,2023-04-10,1,UA59040090000041737,Комишанська,UA59040150000076482,Чернеччинська
266,2018-10-18,2023-04-10,1,UA59040090000041737,Комишанська,UA59040050000033127,Грунська
267,2018-10-01,2023-04-10,1,UA53020170000049108,Омельницька,UA53020210000023587,Пришибська
267,2018-10-01,2023-04-10,1,UA53020170000049108,Омельницька,UA53020190000090557,Піщанська
267,2018-10-01,2023-04-10,1,UA53020170000049108,Омельницька,UA53020070000049284,Кам’янопотоківська
267,2018-10-01,2023-04-10,1,UA53020210000023587,Пришибська,UA53020170000049108,Омельницька
267,2018-10-01,2023-04-10,1,UA53020210000023587,Пришибська,UA53020190000090557,Піщанська
267,2018-10-01,2023-04-10,1,UA53020210000023587,Пришибська,UA53020070000049284,Кам’янопотоківська
267,2018-10-01,2023-04-10,1,UA53020190000090557,Піщанська,UA53020170000049108,Омельницька
267,2018-10-01,2023-04-10,1,UA53020190000090557,Піщанська,UA53020210000023587,Пришибська
267,2018-10-01,2023-04-10,1,UA53020190000090557,Піщанська,UA53020070000049284,Кам’янопотоківська
267,2018-10-01,2023-04-10,1,UA53020070000049284,Кам’янопотоківська,UA53020170000049108,Омельницька
267,2018-10-01,2023-04-10,1,UA53020070000049284,Кам’янопотоківська,UA53020210000023587,Пришибська
267,2018-10-01,2023-04-10,1,UA53020070000049284,Кам’янопотоківська,UA53020190000090557,Піщанська
269,2018-10-01,2023-04-10,1,UA53080090000014431,Зіньківська,UA53080350000070563,Опішнянська
269,2018-10-01,2023-04-10,1,UA53080350000070563,Опішнянська,UA53080090000014431,Зіньківська
270,2018-10-07,2023-04-10,1,UA53080090000014431,Зіньківська,UA53080350000070563,Опішнянська
