"","full_name","edebo","ouo_validated","short_name","status","type","property_type","koatuu","oblast","settlement","address","main_institution","managing_body","phone","fax","mail","site","director","is_core","is_rural","is_mountain","is_internat","licensed_volume","settlement_name","settlement_code","hromada_name","hromada_code","raion_name","raion_code","oblast_name","oblast_code","match_status_koatuu"
"25","Жорнищенський ліцей Іллінецької міської ради Вінницької області",139354,"так","Жорнищенський ліцей","працює","ліцей","Комунальна","0521282403","Вінницька область","с. Жорнище, Іллінецький район, Вінницька область","вулиця Бойка, 9",NA,"Управління освіти Іллінецької міської ради","(04345)27193",NA,"zhornschkola@ukr.net",NA,"Директор Притула Лариса Іванівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"26","філія ""Жуківецька гімназія"" комунального закладу ""Жмеринський ліцей № 5""",142004,"так","філія ""Жуківецька гімназія""","працює","школа","Комунальна","0521081403","Вінницька область","с. Жуківці, Жмеринський район, Вінницька область","вулиця Центральна, 177",NA,"Управління освіти Жмеринської міської ради","(04332)39540",NA,"Zhykivcs@gmail.com","http://zhukivtsi-zosh.vn.sch.in.ua","Завідувач філією Нечай Світлана Володимирівна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"27","Кальницький ліцей ім. Я.Івашкевича Дашівської селищної ради",139540,"так","Кальницький ліцей ім. Я.Івашкевича","працює","ліцей","Комунальна","0521282803","Вінницька область","с. Кальник, Іллінецький район, Вінницька область","вулиця І.Богуна, 184-А",NA,"Відділ освіти, культури, молоді та спорту Дашівської селищної ради","(067)5962056",NA,"kalnyc-scool@ukr.net","http://kalnyk.pp.ua/","Директор Поїзд Валентина Савівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"28","Кантелинська філія Дашівського ліцею Дашівської селищної ради",140841,"так","Кантелинська філія Дашівського ліцею","працює","гімназія","Комунальна","0521283003","Вінницька область","с. Кантелина, Іллінецький район, Вінницька область","вулиця Шкільна, 1",NA,"Відділ освіти, культури, молоді та спорту Дашівської селищної ради","(097)8268378",NA,"kanteluna-school@ukr.net",NA,"Завідувач філією Дяченко Ірина Володимирівна","Філія","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"29","Кислицька гімназія Томашпільської селищної ради Вінницької області",135579,"так","Кислицька гімназія","працює","школа","Комунальна","0523981901","Вінницька область","с. Кислицьке, Томашпільський район, Вінницька область","вулиця Центральна, 90",NA,"Відділ освіти, спорту, культури та туризму Томашпільської селищної ради","(04348)54745",NA,"kislickezosh@meta.ua","http://kyslytske.ucoz.ua","Директор Лесько Віктор Михайлович","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"30","Клекотинський ліцей Мурафської сільської ради",141580,"так","Клекотинський ліцей","працює","ліцей","Комунальна","0525383001","Вінницька область","с. Клекотина, Шаргородський район, Вінницька область","вулиця Лесі Українки, 1",NA,"Відділ освіти, культури, молоді, спорту та туризму Мурафської сільської ради","(098)7658210",NA,"kklekotina@ukr.net","http://klk.shedu.vn.ua","Директор Човган Оксана Миколаївна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"31","КОМАРІВСЬКА ФІЛІЯ КОМУНАЛЬНОГО ЗАКЛАДУ ""СТЕПАНІВСЬКИЙ ЛІЦЕЙ З ДОШКІЛЬНИМ ПІДРОЗДІЛОМ"" ВОРОНОВИЦЬКОЇ СЕЛИЩНОЇ РАДИ",145229,"так","КОМАРІВСЬКА ФІЛІЯ КЗ ""СТЕПАНІВСЬКИЙ ЛІЦЕЙ З ДОШКІЛЬНИМ ПІДРОЗДІЛОМ""","працює","школа","Комунальна","0520682403","Вінницька область","с. Комарів, Вінницький район, Вінницька область","вулиця Михайлівська, 14",NA,"Відділ освіти, культури, туризму та спорту Вороновицької селищної ради","(098)5762605",NA,"osvita.komariv2013@gmail.com","http://kmr.vnedu.vn.ua/","Завідувач філією Довгань Людмила Олександрівна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"32","Копіївська філія Дашівського ліцею Дашівської селищної ради",140902,"так","Копіївська філія Дашівського ліцею","працює","гімназія","Комунальна","0521283403","Вінницька область","с. Копіївка, Іллінецький район, Вінницька область","вулиця Кооперативна, 9",NA,"Відділ освіти, культури, молоді та спорту Дашівської селищної ради","(096)6520588",NA,"kopyivkaschool@gmail.com",NA,"Завідувач філією Хіхловська Галина Юхимівна","Філія","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"33","філія ""Коростівецька гімназія"" комунального закладу ""Жмеринський ліцей № 6""",142115,"так","філія ""Коростівецька гімназія""","працює","школа","Комунальна","0521083003","Вінницька область","с. Коростівці, Жмеринський район, Вінницька область","вулиця Шкільна, 8",NA,"Управління освіти Жмеринської міської ради","(04332)30440",NA,"korostivtsi@gmail.com","https://korostivtsischool.e-schools.info","Завідувач філією Лесь Андрій Васильович","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"34","заклад загальної середньої освіти І-ІІ ступенів с. Косанове Кунківської сільської ради",148969,"так","ЗЗСО І - ІІ ст. с. Косанове","працює","школа","Комунальна","0520885206","Вінницька область","с. Косанове, Гайсинський район, Вінницька область","вулиця Космонавтів, 1",NA,"Відділ освіти, культури, молоді та спорту Кунківської сільської ради","(04334)67347",NA,"kosanove_sch@ukr.net","ksn.gnedu.vn.ua","Буханенко Ніна Леонідівна","ні","так","ні","ні",100,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"35","Красненьківський ліцей Іллінецької міської ради Вінницької області",139465,"так","Красненьківський ліцей","працює","ліцей","Комунальна","0521283903","Вінницька область","с. Красненьке, Іллінецький район, Вінницька область","вулиця Соборна, 26",NA,"Управління освіти Іллінецької міської ради","(04345)26723",NA,"krasnenyke@gmail.com","http://krs.iledu.vn.ua","Директор Брижак Галина Григорівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"36","Ксаверівська філія комунального закладу ""Якушинецький ліцей"" Вінницької області",138874,"так","Ксаверівська філія","працює","школа","Комунальна","0520682503","Вінницька область","с. Ксаверівка, Вінницький район, Вінницька область","вулиця Соборна, 1",NA,"Відділ освіти, культури та спорту Якушинецької сільської ради","(096)2813241",NA,NA,NA,"Завідувач філією Слободянюк Оксана Вікторівна","Філія","так","ні","ні",60,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"37","заклад загальної середньої освіти І-ІІІ ступенів с. Кузьминці Кунківської сільської ради",140358,"так","ЗЗСО І-ІІІ ст. с. Кузьминці","працює","школа","Комунальна","0520883003","Вінницька область","с. Кузьминці, Гайсинський район, Вінницька область","провулок Слободи, 4",NA,"Відділ освіти, культури, молоді та спорту Кунківської сільської ради","(04334)73-2-43",NA,"kuzmintzi@ukr.net","http://kzm.gnedu.vn.ua","Директор Угровецька Інна Василівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"38","Купчинецька філія Дашівського ліцею Дашівської селищної ради",140901,"так","Купчинецька філія Дашівського ліцею","працює","школа","Комунальна","0521284103","Вінницька область","с. Купчинці, Іллінецький район, Вінницька область","вулиця Шевченка, 1""А""",NA,"Відділ освіти, культури, молоді та спорту Дашівської селищної ради","(04345)38710",NA,"super.kupchintsi_school@ukr.net",NA,"Завідувач філією Змієвець Юрій Вікторович","Філія","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"39","Лисогірська філія Іллінецького ліцею №2 Іллінецької міської ради Вінницької області",143412,"так","Лисогірська філія Іллінецького ліцею №2","працює","гімназія","Комунальна","0521283906","Вінницька область","с. Лиса Гора, Іллінецький район, Вінницька область","вулиця Соборна, 57",NA,"Управління освіти Іллінецької міської ради","(04345)29353",NA,"lisa.gora@ukr.net",NA,"Завідувач філією Велика Любов Леонідівна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"40","Лисогірська філія комунального закладу ""Якушинецький ліцей"" Вінницької області",139427,"так","Лисогірська філія","працює","школа","Комунальна","0520682506","Вінницька область","с. Лисогора, Вінницький район, Вінницька область",NA,NA,"Відділ освіти, культури та спорту Якушинецької сільської ради","(067)4565064",NA,"irina.nd@i.ua","http://lsg.vnedu.vn.ua/","Завідувач філією Наборщикова Ірина Дмитрівна","Філія","так","ні","ні",60,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"41","Медвежанська філія Ліцею №2 м. Немирова Немирівської міської ради",142367,"так","Медвежанська філія Ліцею №2 м. Немирова","працює","гімназія","Комунальна","0523085401","Вінницька область","с. Медвежа, Немирівський район, Вінницька область","вулиця Соборна, 10",NA,"Відділ освіти Немирівської міської ради","(04331)3-67-51",NA,"medvezhaschool@ukr.net","https://medvezhaschool.e-schools.info","Завідувач філією Ходаківська Світлана Володимирівна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"42","КОМУНАЛЬНИЙ ЗАКЛАД ""МИХАЙЛІВСЬКИЙ ЛІЦЕЙ"" ВОРОНОВИЦЬКОЇ СЕЛИЩНОЇ РАДИ",145175,"так","КЗ ""МИХАЙЛІВСЬКИЙ ЛІЦЕЙ""","працює","ліцей","Комунальна","0520681406","Вінницька область","с. Михайлівка, Вінницький район, Вінницька область","вулиця Шкільна, 1А",NA,"Відділ освіти, культури, туризму та спорту Вороновицької селищної ради","(0432)590220",NA,"mykhaylivka@gmail.com",NA,"Директор Кривешко Юлія Степанівна","ні","так","ні","ні",360,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"43","ліцей з дошкільним підрозділом с. Мізяків Калинівської міської ради Вінницької області",142283,"так","Мізяківський ліцей","працює","ліцей","Комунальна","0521684803","Вінницька область","с. Мізяків, Калинівський район, Вінницька область","вулиця Гагаріна, 2",NA,"Відділ освіти, молоді та спорту Калинівської міської ради","(04333)35349",NA,"mizshkola@ukr.net","http://miziakiv-nvk.vn.sch.in.ua/","Директор Горобчук Любов Іванівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"44","заклад загальної середньої освіти І-ІІ ступенів с. Мітлинці Кунківської сільської ради",134351,"так","ЗЗСО І-ІІ ст. с. Мітлинці","працює","школа","Комунальна","0520884203","Вінницька область","с. Мітлинці, Гайсинський район, Вінницька область","вулиця Першотравнева, 36",NA,"Відділ освіти, культури, молоді та спорту Кунківської сільської ради","(04334)78-2-35",NA,"mitl_school@ukr.net","http://mitlschool.kl.com.ua","Лапунько Алла Володимирівна","ні","так","ні","ні",100,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"45","Моївський ліцей Бабчинецької сільської ради Могилів-Подільського району Вінницької області",145438,"так","Моївський ліцей","працює","ліцей","Комунальна","0524984801","Вінницька область","с. Моївка, Чернівецький район, Вінницька область","вулиця Шкільна, 1",NA,"Відділ освіти, культури, молоді та спорту Бабчинецької сільської ради","(0985)210188",NA,"moivschool@gmaiI.com","mvs.chredu.vn.ua","Директор Сандул Галина Володимирівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"46","Монастирська філія І-ІІ ступеня Брацлавського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів №1-Гімназія"" Брацлавської селищної ради Немирівського району Вінницької області",145405,"так","Монастирська філія","працює","школа","Комунальна","0523085101","Вінницька область","с. Монастирське, Немирівський район, Вінницька область","вулиця Центральна, 102",NA,"Брацлавська селищна рада","(098)0209496",NA,"marksovo_school@ukr.net",NA,"Завідувач філією Вертипорох Василь Володимирович","Філія","так","ні","ні",1,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"47","Непедівський ліцей Глуховецької селищної ради",143821,"так","Непедівський ліцей","працює","ліцей","Комунальна","0521485203","Вінницька область","с. Непедівка, Козятинський район, Вінницька область","вулиця Гагаріна, 23",NA,"Відділ освіти, культури, молоді та спорту Глуховецької селищної ради Козятинського району Вінницької області","(04342)32532",NA,"nepedivskiu.znvk@gmail.com",NA,"Директор Лисюк Василь Миколайович","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"48","Нетребівська гімназія Томашпільської селищної ради Вінницької області",134782,"так","Нетребівська гімназія","працює","школа","Комунальна","0523983301","Вінницька область","с. Нетребівка, Томашпільський район, Вінницька область","вулиця Миру, 19",NA,"Відділ освіти, спорту, культури та туризму Томашпільської селищної ради","(04348)47630",NA,"netrebivkaschool@meta.ua","https://netrebivka.e-schools.info","Директор Петрига Наталя Михайлівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"49","Комунальний заклад ""Новоприлуцький заклад загальної середньої освіти І - ІІ ступенів Турбівської селищної ради Вінницького району Вінницької області""",138290,"так","КЗ ""Новоприлуцький ЗЗСО І-ІІ ст.""","працює","школа","Комунальна","0522284001","Вінницька область","с. Нова Прилука, Липовецький район, Вінницька область","вулиця Травнева (Першотравнева), 38б",NA,"Відділ освіти, культури, туризму, молоді та спорту Турбівської селищної ради Вінницького району Вінницької області","(04258)4-35-21",NA,"nov_sk@ua.fm",NA,"Директор Зель Лариса Михайлівна","ні","так","ні","ні",225,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"50","Заклад загальної середньої освіти І-ІІІ ступенів - дошкільний навчальний заклад с. Нові Обиходи Райгородської сільської ради Вінницької області",141826,"так","ЗЗСО І-ІІІ ст. - ДНЗ с. Нові Обиходи","працює","школа","Комунальна","0523085701","Вінницька область","с. Нові Обиходи, Немирівський район, Вінницька область","вулиця Мельника, 26",NA,"""Відділ освіти, культури, спорту та туризму Райгородської сільської ради Вінницької області""","(04331)41495",NA,"obyhody@ukr.net",NA,"Директор Собченко Марина Василівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
